Shazam Discovery Argentina
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"kostromin","Моя голова винтом"
3,"Nathan Evans","Wellerman (Sea Shanty)"
4,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
5,"DJ Guuga","Acompanha O Grave"
6,"Leyla Blue","What A Shame"
7,"BASSTEROID","Somebody To Love (Rework)"
8,"NP HEAVEN","The Style Weekend (Remix)"
9,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
10,"Papichamp, L-Gante & Blunted Vato Feat. ECKO","Combi Nueva"
