Shazam Top 200 Argentina Chart
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"The Weeknd","Save Your Tears"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Olivia Rodrigo","drivers license"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"The Weeknd","Blinding Lights"
8,"Myke Towers & Juhn","Bandido"
9,"Luis Fonsi & Rauw Alejandro","Vacío"
10,"kostromin","Моя голова винтом"
11,"Kaleo","Way Down We Go"
12,"Boney M.","Rasputin"
13,"Gotye Feat. Kimbra","Somebody That I Used To Know"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Dura DJ","Y Si el Pueblo Pide, Ponle"
16,"David Guetta & Sia","Let's Love"
17,"Pascal Letoublon","Friendships"
18,"Papu DJ","La Guerra"
19,"Dua Lipa","We're Good"
20,"LA YOUNG","Como Estrellas"
21,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
22,"Bring Me The Horizon","Can You Feel My Heart"
23,"CNCO","Tan Enamorados"
24,"Camilo & El Alfa","BEBÉ"
25,"CNCO","Dejaría Todo"
26,"Hippie Sabotage","Devil Eyes"
27,"Twenty One Pilots","Stressed Out"
28,"Kim Dracula","Paparazzi"
29,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
30,"Sebastián Yatra & Guaynaa","Chica Ideal"
31,"Duncan Laurence","Arcade"
32,"Dirty Heads","Vacation"
33,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
34,"Issam Alnajjar","Hadal Ahbek"
35,"Kiddtetoon & Diego Smith","Illuminati"
36,"Daddy Yankee","PROBLEMA"
37,"Gwen Stefani","Hollaback Girl"
38,"Harry Styles","Watermelon Sugar"
39,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
40,"24kGoldn Feat. iann dior","Mood"
41,"Leat'eq","Tokyo"
42,"SAINt JHN","Roses (Imanbek Remix)"
43,"Coldplay","Hymn For The Weekend"
44,"Migos Feat. Young Thug","YRN"
45,"SZA & Justin Timberlake","The Other Side"
46,"Lewis Capaldi","Someone You Loved"
47,"Rauw Alejandro & Anuel AA","Reloj"
48,"Tiësto","The Business"
49,"Queen","Another One Bites The Dust"
50,"Bruno Mars","Locked Out Of Heaven"
51,"Canyon City","Fix You"
52,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
53,"Post Malone","Circles"
54,"Harry Styles","Golden"
55,"Sergio Valentino","Drive Forever"
56,"The Neighbourhood","Sweater Weather"
57,"BTS","Dynamite"
58,"Fer Palacio","Previa y Cachengue 38 (Remix)"
59,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
60,"KAROL G","BICHOTA"
61,"Doja Cat","Streets"
62,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
63,"Daft Punk Feat. Pharrell Williams","Get Lucky"
64,"Master KG Feat. Nomcebo Zikode","Jerusalema"
65,"Tones And I","Dance Monkey"
66,"Humbe","Sorpresa Sorpresa"
67,"Mother Mother","Hay Loft"
68,"Aya Nakamura","Copines"
69,"SoFaygo","Knock Knock"
70,"Topic & A7S","Breaking Me"
71,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
72,"Sheck Wes","Mo Bamba"
73,"Boza","Hecha Pa' Mi"
74,"Travis Scott & HVME","Goosebumps (Remix)"
75,"Capital Cities","Safe And Sound"
76,"Ludovico Einaudi","Experience"
77,"Rihanna","Where Have You Been"
78,"Maria Becerra","Acaramelao"
79,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
80,"KAROL G, Anuel AA & J. Balvin","LOCATION"
81,"Camilo","Ropa Cara"
82,"Dua Lipa","Break My Heart"
83,"Sam Smith","Diamonds"
84,"4 Non Blondes","What's Up?"
85,"Really Slow Motion","Deadwood"
86,"Dua Lipa","Don't Start Now"
87,"Supermode","Tell Me Why"
88,"Magic!","Rude"
89,"Sia","Snowman"
90,"La Cumbia","Porque Te Amo"
91,"Bad Bunny & Jhay Cortez","Dakiti"
92,"Harry Styles","Sign Of The Times"
93,"La K'onga","El Mismo Aire"
94,"Paul Anka","Put Your Head On My Shoulder"
95,"Nathan Evans","Wellerman (Sea Shanty)"
96,"The Weeknd Feat. Daft Punk","I Feel It Coming"
97,"Tones And I","Fly Away"
98,"347aidan","Dancing in My Room"
99,"Ariana Grande & Doja Cat","motive"
100,"Baby Bash","Suga Suga"
101,"Oriana & Rusherking","Lo Que Tienes"
102,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
103,"George Michael","Careless Whisper"
104,"Leyla Blue","What A Shame"
105,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
106,"The Kid LAROI","WITHOUT YOU"
107,"Creedence Clearwater Revival","Cotton Fields"
108,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
109,"Kungs & Cookin' On 3 Burners","This Girl"
110,"DJ Guuga","Acompanha O Grave"
111,"Pháo","2 Phút Hơn [KAIZ Remix]"
112,"Justin Bieber & benny blanco","Lonely"
113,"Stevie Appleton","Paradise (with Sam Feldt)"
114,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
115,"Camilo","Vida de Rico"
116,"Maria Becerra & Rusherking","Confiesalo"
117,"Maria Becerra & Cazzu","Animal"
118,"Humbe","tú me hiciste volar"
119,"Maroon 5","Animals"
120,"Grover Washington Jr.","Just The Two Of Us"
121,"Israel Kamakawiwo'ole","Over The Rainbow"
122,"ATB, Topic & A7S","Your Love (9PM)"
123,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
124,"Migrantes & Alico","Si Me Tomo Una Cerveza"
125,"Bizarrap & Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36"
126,"Syke 'N' Sugarstarr","Ticket 2 Ride (Syke`n`Sugarstarr Orginal Mix)"
127,"Daft Punk Feat. Julian Casablancas","Instant Crush"
128,"La Bien Querida","Muero De Amor"
