Shazam Top 50 Bahía Blanca
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"The Weeknd","Blinding Lights"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"CNCO","Tan Enamorados"
5,"Pascal Letoublon","Friendships"
6,"Olivia Rodrigo","drivers license"
7,"Topic & A7S","Breaking Me"
8,"ElyOtto & Zedivan","Sugar Crash"
9,"Boney M.","Rasputin"
10,"Desconocido","La Canción Más Misteriosa De Internet"
11,"Myke Towers & Juhn","Bandido"
12,"The Weeknd","Save Your Tears"
13,"Harry Styles","Watermelon Sugar"
14,"Tones And I","Fly Away"
15,"Fer Palacio","Previa y Cachengue 38 (Remix)"
16,"LA YOUNG","Como Estrellas"
17,"Sebastián Yatra & Guaynaa","Chica Ideal"
18,"Black Eyed Peas & Shakira","GIRL LIKE ME"
19,"KAROL G","BICHOTA"
20,"Camilo & El Alfa","BEBÉ"
21,"Kaleo","Way Down We Go"
22,"Dirty Heads","Vacation"
23,"Kim Dracula","Paparazzi"
24,"Camilo","Ropa Cara"
25,"Luis Fonsi & Rauw Alejandro","Vacío"
26,"Twenty One Pilots","Stressed Out"
27,"Leat'eq","Tokyo"
28,"Aya Nakamura","Copines"
29,"David Guetta & Sia","Let's Love"
30,"Gotye Feat. Kimbra","Somebody That I Used To Know"
31,"Migrantes & Alico","Si Me Tomo Una Cerveza"
32,"CNCO","Dejaría Todo"
33,"Hippie Sabotage","Devil Eyes"
34,"Robin Schulz Feat. Alida","In Your Eyes"
35,"C. Tangana, Niño de Elche & La Hungara","Tú Me Dejaste De Querer"
36,"Sam Fischer & Demi Lovato","What Other People Say"
37,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
38,"Gwen Stefani","Hollaback Girl"
39,"Papu DJ","La Guerra"
40,"Masked Wolf","Astronaut In The Ocean"
41,"Harry Styles","Golden"
42,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
43,"Jason Derulo","Take You Dancing"
44,"Bad Bunny & Jhay Cortez","Dakiti"
45,"kostromin","Моя голова винтом"
46,"The Neighbourhood","Sweater Weather"
47,"Canyon City","Fix You"
48,"Keane","Somewhere Only We Know"
49,"SAINt JHN","Roses (Imanbek Remix)"
50,"Meduza, Becky Hill & Goodboys","Lose Control"
