Shazam Top 50 Buenos Aires
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"The Weeknd","Save Your Tears"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"The Weeknd","Blinding Lights"
5,"Olivia Rodrigo","drivers license"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Luis Fonsi & Rauw Alejandro","Vacío"
9,"Dua Lipa","We're Good"
10,"Myke Towers & Juhn","Bandido"
11,"David Guetta & Sia","Let's Love"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"Boney M.","Rasputin"
14,"CNCO","Dejaría Todo"
15,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
16,"Dura DJ","Y Si el Pueblo Pide, Ponle"
17,"Camilo & El Alfa","BEBÉ"
18,"Masked Wolf","Astronaut In The Ocean"
19,"CNCO","Tan Enamorados"
20,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
21,"Papu DJ","La Guerra"
22,"kostromin","Моя голова винтом"
23,"Post Malone","Circles"
24,"Kaleo","Way Down We Go"
25,"Sebastián Yatra & Guaynaa","Chica Ideal"
26,"SZA & Justin Timberlake","The Other Side"
27,"SAINt JHN","Roses (Imanbek Remix)"
28,"Harry Styles","Golden"
29,"Pascal Letoublon","Friendships"
30,"Twenty One Pilots","Stressed Out"
31,"Canyon City","Fix You"
32,"Daddy Yankee","PROBLEMA"
33,"Lewis Capaldi","Someone You Loved"
34,"24kGoldn Feat. iann dior","Mood"
35,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
36,"Harry Styles","Watermelon Sugar"
37,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
38,"Bring Me The Horizon","Can You Feel My Heart"
39,"Travis Scott & HVME","Goosebumps (Remix)"
40,"Tones And I","Dance Monkey"
41,"Sam Smith","Diamonds"
42,"Hippie Sabotage","Devil Eyes"
43,"Maria Becerra","Acaramelao"
44,"Daft Punk Feat. Pharrell Williams","Get Lucky"
45,"Tones And I","Fly Away"
46,"Bruno Mars","Locked Out Of Heaven"
47,"La Cumbia","Porque Te Amo"
48,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
49,"Oriana & Rusherking","Lo Que Tienes"
50,"Bread","Everything I Own"
