Shazam Top 50 Clorinda
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Ivis Feat. Tarcísio do Acordeon","Esquema Preferido"
2,"Myke Towers & Juhn","Bandido"
3,"Humbe","Sorpresa Sorpresa"
4,"Kali Uchis","telepatía"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"LA YOUNG","Como Estrellas"
7,"Papu DJ","La Guerra"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Gabriel O Príncipe","Acaso"
10,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
11,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
12,"The Weeknd","Blinding Lights"
13,"Kiddtetoon & Diego Smith","Illuminati"
14,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
15,"Dirty Heads","Vacation"
16,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
17,"ElyOtto & Zedivan","Sugar Crash"
18,"The Weeknd","Save Your Tears"
19,"Olivia Rodrigo","drivers license"
20,"Issam Alnajjar","Hadal Ahbek"
21,"DJ Guuga","Acompanha O Grave"
22,"CNCO","Tan Enamorados"
23,"Raí Saia Rodada","Tapão Na Raba"
24,"Boza","Hecha Pa' Mi"
25,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
26,"Masked Wolf","Astronaut In The Ocean"
27,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
28,"DJ Fábio Medina","É Funk²"
29,"Kim Dracula","Paparazzi"
30,"Tanczaca Krowa","Dancing Polish Cow"
31,"Luis Fonsi & Rauw Alejandro","Vacío"
32,"Os Barões da Pisadinha","Tá Rocheda"
33,"Luan Santana","Tudo O Que Você Quiser"
34,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
36,"Gwen Stefani","Hollaback Girl"
37,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
38,"24kGoldn Feat. iann dior","Mood"
39,"Gotye Feat. Kimbra","Somebody That I Used To Know"
40,"Os Barões da Pisadinha","Esquema Preferido (Ao Vivo)"
41,"Boney M.","Rasputin"
42,"Rauw Alejandro & Anuel AA","Reloj"
43,"kostromin","Моя голова винтом"
44,"KAROL G, Anuel AA & J. Balvin","LOCATION"
45,"Aya Nakamura","Copines"
46,"Hippie Sabotage","Devil Eyes"
47,"Kaleo","Way Down We Go"
48,"CNCO","Por Amarte Así"
49,"Anuel AA & Ozuna","Dime Tú"
50,"Twenty One Pilots","Stressed Out"
