Shazam Top 50 Comodoro Rivadavia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"The Weeknd","Save Your Tears"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Migos Feat. Young Thug","YRN"
6,"ElyOtto & Zedivan","Sugar Crash"
7,"kostromin","Моя голова винтом"
8,"The Weeknd","Blinding Lights"
9,"Leat'eq","Tokyo"
10,"KAROL G","BICHOTA"
11,"Camilo & El Alfa","BEBÉ"
12,"Harry Styles","Watermelon Sugar"
13,"Duncan Laurence","Arcade"
14,"Sergio Valentino","Drive Forever"
15,"Edith Whiskers","Home"
16,"Masked Wolf","Astronaut In The Ocean"
17,"Myke Towers & Juhn","Bandido"
18,"Fer Palacio","Previa y Cachengue 38 (Remix)"
19,"The Neighbourhood","Sweater Weather"
20,"Milky Chance","Stolen Dance"
21,"Queen","Another One Bites The Dust"
22,"Los Ángeles Azules Feat. Natalia Lafourcade","Nunca Es Suficiente"
23,"Papu DJ","La Guerra"
24,"Issam Alnajjar","Hadal Ahbek"
25,"Bad Bunny & Jhay Cortez","Dakiti"
26,"Olivia Rodrigo","drivers license"
27,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
28,"Boney M.","Rasputin"
29,"Twenty One Pilots","Stressed Out"
30,"Aya Nakamura","Copines"
31,"24kGoldn Feat. iann dior","Mood"
32,"Sebastián Yatra & Guaynaa","Chica Ideal"
33,"Paul Anka","Put Your Head On My Shoulder"
34,"Roar","I Can't Handle Change"
35,"Dirty Heads","Vacation"
36,"Dire Straits","Sultans Of Swing"
37,"David Guetta & Sia","Let's Love"
38,"CNCO","Tan Enamorados"
39,"Bruno Mars","Locked Out Of Heaven"
40,"Queen","Good Old-Fashioned Lover Boy"
41,"Queen","The Show Must Go On"
42,"Canyon City","Fix You"
43,"Cutting Crew","(I Just) Died In Your Arms"
44,"Michael Bublé","Feeling Good"
45,"Capone","Streets Favorite"
46,"BTS","Dynamite"
47,"Kim Dracula","Paparazzi"
48,"Bring Me The Horizon","Can You Feel My Heart"
49,"Israel Kamakawiwo'ole","Over The Rainbow"
50,"Kaleo","Way Down We Go"
