Shazam Top 50 Concordia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Masked Wolf","Astronaut In The Ocean"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Master KG Feat. Nomcebo Zikode","Jerusalema"
7,"Boney M.","Rasputin"
8,"Kaleo","Way Down We Go"
9,"The Weeknd","Save Your Tears"
10,"Hippie Sabotage","Devil Eyes"
11,"Pascal Letoublon","Friendships"
12,"Capone","Streets Favorite"
13,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
14,"Dirty Heads","Vacation"
15,"Justin Timberlake Feat. Timbaland","Sexyback"
16,"Dura DJ","Y Si el Pueblo Pide, Ponle"
17,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
18,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
19,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
20,"kostromin","Моя голова винтом"
21,"Imagine Dragons","Believer"
22,"Tommee Profitt Feat. Fleurie & Jung Youth","In The End"
23,"Aya Nakamura","Copines"
24,"SAINt JHN","Roses (Imanbek Remix)"
25,"Avocuddle, Orange Stick & FETS","Do I Wanna Know?"
26,"Gotye Feat. Kimbra","Somebody That I Used To Know"
27,"KAROL G","BICHOTA"
28,"Edith Whiskers","Home"
29,"Rauw Alejandro & Anuel AA","Reloj"
30,"Myke Towers & Juhn","Bandido"
31,"Kim Dracula","Paparazzi"
32,"Camilo","Ropa Cara"
33,"Migos Feat. Young Thug","YRN"
34,"Lana Del Rey","Brooklyn Baby"
35,"George Michael","Careless Whisper"
36,"The Weeknd","The Hills"
37,"Halsey","New Americana"
38,"Kim Carnes","Bette Davis Eyes"
39,"The Weeknd Feat. Daft Punk","I Feel It Coming"
40,"Papu DJ","La Guerra"
41,"Really Slow Motion","Deadwood"
42,"Kidd Keo","Dracukeo"
43,"Lewis Capaldi","Someone You Loved"
44,"Duncan Laurence","Arcade"
45,"DJ Guuga","Acompanha O Grave"
46,"SoFaygo","Knock Knock"
47,"Lazy3x Feat. Lil Darkie","2K FREESTYLE"
48,"Serge Feat. KID FLEX","Seguro Te Pierdo"
49,"Black Eyed Peas & Shakira","GIRL LIKE ME"
50,"Britney Spears","Criminal"
