Shazam Top 50 Cutral-Có
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Kaleo","Way Down We Go"
3,"Boney M.","Rasputin"
4,"Justin Timberlake Feat. Timbaland","Sexyback"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"kostromin","Моя голова винтом"
7,"Bring Me The Horizon","Can You Feel My Heart"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"Set It Off Feat. William Beckett","Wolf In Sheep's Clothing"
10,"Queen","Another One Bites The Dust"
11,"Dirty Heads","Vacation"
12,"Gwen Stefani","Hollaback Girl"
13,"Dura DJ","Y Si el Pueblo Pide, Ponle"
14,"Duncan Laurence","Arcade"
15,"SZA & Justin Timberlake","The Other Side"
16,"The Neighbourhood","Sweater Weather"
17,"Marina & The Diamonds","Bubblegum Bitch"
18,"Gotye Feat. Kimbra","Somebody That I Used To Know"
19,"Coldplay","Yellow"
20,"Depeche Mode","Enjoy The Silence"
21,"DJ xXx19xXx","Tao Lua Trong Dem"
22,"El Jincho & El Legend Soou","Un Juidero de Pinga"
23,"Papu DJ","La Guerra"
24,"Aya Nakamura","Copines"
25,"Fleu & Eternal Soul","Set Fire To The Rain"
26,"Regard","Ride It"
27,"Desconocido","La Canción Más Misteriosa De Internet"
28,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
29,"Migos, KAROL G, Snoop Dogg & Rock Mafia","My Family (from "The Addams Family")"
30,"Doja Cat","Streets"
31,"David Guetta & Sia","Let's Love"
32,"Issam Alnajjar","Hadal Ahbek"
33,"Edith Whiskers","Home"
34,"The Kid LAROI","WITHOUT YOU"
35,"Pháo","2 Phút Hơn [KAIZ Remix]"
36,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
37,"Maria Becerra & Cazzu","Animal"
38,"Kim Dracula","Paparazzi"
39,"Christina Perri Feat. Steve Kazee","A Thousand Years (Pt. 2)"
40,"Daughter","Medicine (Sound Remedy Remix)"
41,"Set It Off Feat. Ash Costello","Partners In Crime"
42,"CNCO","Tan Enamorados"
43,"The Neville Brothers","Bird On A Wire"
44,"Metallica","Nothing Else Matters"
45,"Migos Feat. Young Thug","YRN"
46,"Nelly","Hot In Herre"
47,"Caesars","Jerk It Out"
48,"Maroon 5","Animals"
49,"David Guetta Feat. Nicki Minaj & Bebe Rexha & Afrojack","Hey Mama"
50,"Eruption","One Way Ticket"
