Shazam Top 50 Córdoba
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Olivia Rodrigo","drivers license"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Kaleo","Way Down We Go"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"Luis Fonsi & Rauw Alejandro","Vacío"
8,"The Weeknd","Blinding Lights"
9,"The Weeknd","Save Your Tears"
10,"Masked Wolf","Astronaut In The Ocean"
11,"Dura DJ","Y Si el Pueblo Pide, Ponle"
12,"Pascal Letoublon","Friendships"
13,"CNCO","Tan Enamorados"
14,"Myke Towers & Juhn","Bandido"
15,"kostromin","Моя голова винтом"
16,"LA YOUNG","Como Estrellas"
17,"Boney M.","Rasputin"
18,"Gotye Feat. Kimbra","Somebody That I Used To Know"
19,"Dirty Heads","Vacation"
20,"Camilo & El Alfa","BEBÉ"
21,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
22,"Dua Lipa","We're Good"
23,"Papu DJ","La Guerra"
24,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
25,"La K'onga","El Mismo Aire"
26,"Lewis Capaldi","Someone You Loved"
27,"Harry Styles","Watermelon Sugar"
28,"David Guetta & Sia","Let's Love"
29,"Kim Dracula","Paparazzi"
30,"SAINt JHN","Roses (Imanbek Remix)"
31,"Canyon City","Fix You"
32,"Master KG Feat. Nomcebo Zikode","Jerusalema"
33,"KAROL G","BICHOTA"
34,"Daddy Yankee","PROBLEMA"
35,"Duncan Laurence","Arcade"
36,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
37,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
38,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
39,"Bring Me The Horizon","Can You Feel My Heart"
40,"Sebastián Yatra & Guaynaa","Chica Ideal"
41,"Topic & A7S","Breaking Me"
42,"Twenty One Pilots","Stressed Out"
43,"Sam Smith","I Feel Love"
44,"Tiësto","The Business"
45,"Issam Alnajjar","Hadal Ahbek"
46,"Gwen Stefani","Hollaback Girl"
47,"Coldplay","Hymn For The Weekend"
48,"Regard","Ride It"
49,"ATB, Topic & A7S","Your Love (9PM)"
50,"Queen","Another One Bites The Dust"
