Shazam Top 50 La Rioja
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Queen","Another One Bites The Dust"
5,"The Weeknd","Blinding Lights"
6,"Doja Cat","Streets"
7,"Olivia Rodrigo","drivers license"
8,"LA YOUNG","Como Estrellas"
9,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
10,"Kaleo","Way Down We Go"
11,"Papu DJ","La Guerra"
12,"Dura DJ","Y Si el Pueblo Pide, Ponle"
13,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
14,"Camilo","Vida de Rico"
15,"Kim Dracula","Paparazzi"
16,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
17,"kostromin","Моя голова винтом"
18,"Luis Fonsi & Rauw Alejandro","Vacío"
19,"Bruno Mars","Locked Out Of Heaven"
20,"Migos Feat. Young Thug","YRN"
21,"Sheck Wes","Mo Bamba"
22,"Master KG Feat. Nomcebo Zikode","Jerusalema"
23,"Bring Me The Horizon","Can You Feel My Heart"
24,"Israel Kamakawiwo'ole","Over The Rainbow"
25,"Sia","Snowman"
26,"Duncan Laurence","Arcade"
27,"SoFaygo","Knock Knock"
28,"David Guetta & Sia","Let's Love"
29,"Coldplay","Hymn For The Weekend"
30,"Dirty Heads","Vacation"
31,"Leat'eq","Tokyo"
32,"Aya Nakamura","Copines"
33,"Kiddtetoon & Diego Smith","Illuminati"
34,"The Kid LAROI","WITHOUT YOU"
35,"Humbe","Sorpresa Sorpresa"
36,"The Neighbourhood","Sweater Weather"
37,"Grover Washington Jr.","Just The Two Of Us"
38,"Boney M.","Rasputin"
39,"Twenty One Pilots","Stressed Out"
40,"Pascal Letoublon","Friendships"
41,"Clean Bandit Feat. Demi Lovato","Solo"
42,"Darkiell","Sigue Bailandome"
43,"Kardinal Offishall Feat. Akon","Dangerous"
44,"Lewis Capaldi","Someone You Loved"
45,"Masked Wolf","Astronaut In The Ocean"
46,"GIVĒON","HEARTBREAK ANNIVERSARY"
47,"The Weeknd","Save Your Tears"
48,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
49,"24kGoldn Feat. iann dior","Mood"
50,"Yvette","Outside"
