Shazam Top 50 Laboulaye
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Pascal Letoublon","Friendships"
2,"Lewis Capaldi","Someone You Loved"
3,"Dura DJ","Y Si el Pueblo Pide, Ponle"
4,"Eminem","Without Me"
5,"Israel Kamakawiwo'ole","Over The Rainbow"
6,"Alannah Myles","Black Velvet"
7,"Dirty Heads","Vacation"
8,"Lauv","I Like Me Better (Ryan Riback Remix)"
9,"Bravo","Desierto Sin Amor"
10,"OmenXiii","Led"
11,"Really Slow Motion","Deadwood"
12,"The Carters","APESHIT"
13,"J. Balvin","Reggaeton"
14,"Piso 21 & Micro Tdh","Te VI"
15,"Sofia Reyes Feat. Rita Ora & Anitta","R.I.P."
16,"Nicky Jam & Ozuna","Te Robaré"
17,"Karol G","Punto G"
18,"Maluma & Becky G","La Respuesta"
19,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
20,"La Base","Sabroson"
21,"Dynoro & Fumaratto","Me Provocas"
22,"Boza","Hecha Pa' Mi"
23,"Miley Cyrus","Midnight Sky"
24,"Alex H","Juno V"
25,"Rauw Alejandro & Anuel AA","Reloj"
26,"Kali Uchis","telepatía"
27,"KAROL G, Anuel AA & J. Balvin","LOCATION"
28,"BASSTEROID","Somebody To Love (Rework)"
29,"Luck Ra","Te Mentiria"
30,"Soda Stereo","Génesis (MTV Unplugged)"
31,"Bring Me The Horizon","Can You Feel My Heart"
32,"Laura Pausini With Marc Anthony 2013","Se Fué"
33,"Barbie","Barbie Und Das Diamantschloss-Teil 6"
34,"Tru La La","Una Noche Mas/Más"
35,"SUNSTROKE PROJECT & Olia Tira","Run Away (Tv Track)"
36,"The Sylvers","Boogie Fever"
37,"Tiësto","Red Lights"
38,"Metallica","The Unforgiven"
39,"Juan D'Arienzo Feat. Orquesta De Juan D'Arienzo & Mario Bustos","Justo El 31"
40,"Ray Conniff","Besame Mucho"
41,"MC Sar & The Real McCoy","It's On You"
42,"Ray Charles","Georgia On My Mind"
43,"Deorro","Five Hours"
44,"Nicky Jam","Voy A Beber"
45,"Era","Misere Mani"
46,"Charly García","No Se Va A Llamar Mi Amor"
47,"Corona","The Rhythm Of The Night"
48,"DJ Shadow","Six Days"
49,"Gipsy Kings","Camino"
50,"Coldplay","The Scientist"
