Shazam Top 50 Mar del Plata
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Louis Tomlinson","Defenceless"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"The Weeknd","Save Your Tears"
4,"Kali Uchis","telepatía"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"The Weeknd","Blinding Lights"
7,"Myke Towers & Juhn","Bandido"
8,"Olivia Rodrigo","drivers license"
9,"Desconocido","La Canción Más Misteriosa De Internet"
10,"Kaleo","Way Down We Go"
11,"Gotye Feat. Kimbra","Somebody That I Used To Know"
12,"Luis Fonsi & Rauw Alejandro","Vacío"
13,"Masked Wolf","Astronaut In The Ocean"
14,"David Guetta & Sia","Let's Love"
15,"Camilo & El Alfa","BEBÉ"
16,"kostromin","Моя голова винтом"
17,"Pascal Letoublon","Friendships"
18,"Dura DJ","Y Si el Pueblo Pide, Ponle"
19,"Harry Styles","Watermelon Sugar"
20,"CNCO","Tan Enamorados"
21,"Dua Lipa","We're Good"
22,"Lewis Capaldi","Someone You Loved"
23,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
24,"Dua Lipa","Don't Start Now"
25,"Hippie Sabotage","Devil Eyes"
26,"Gwen Stefani","Hollaback Girl"
27,"Sebastián Yatra & Guaynaa","Chica Ideal"
28,"Creedence Clearwater Revival","Cotton Fields"
29,"Papu DJ","La Guerra"
30,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
31,"Sam Smith","Diamonds"
32,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
33,"Daddy Yankee","PROBLEMA"
34,"Boney M.","Rasputin"
35,"Solomon Burke","Cry To Me"
36,"SAINt JHN","Roses (Imanbek Remix)"
37,"Harry Styles","Golden"
38,"KAROL G","BICHOTA"
39,"Rauw Alejandro & Anuel AA","Reloj"
40,"CNCO","Dejaría Todo"
41,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
42,"Bring Me The Horizon","Can You Feel My Heart"
43,"Canyon City","Fix You"
44,"Coldplay","Hymn For The Weekend"
45,"Calvin Harris & Rag'n'Bone Man","Giant"
46,"BTS","Dynamite"
47,"Daft Punk Feat. Julian Casablancas","Instant Crush"
48,"4 Non Blondes","What's Up?"
49,"Supermode","Tell Me Why"
50,"LA YOUNG","Como Estrellas"
