Shazam Top 50 Mendoza
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Myke Towers & Juhn","Bandido"
4,"Olivia Rodrigo","drivers license"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"BTS","Dynamite"
7,"Kaleo","Way Down We Go"
8,"The Weeknd","Save Your Tears"
9,"Tiësto","The Business"
10,"Daddy Yankee","PROBLEMA"
11,"The Weeknd","Blinding Lights"
12,"ATB, Topic & A7S","Your Love (9PM)"
13,"Dirty Heads","Vacation"
14,"David Guetta & Sia","Let's Love"
15,"Desconocido","La Canción Más Misteriosa De Internet"
16,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
17,"kostromin","Моя голова винтом"
18,"Rauw Alejandro & Anuel AA","Reloj"
19,"Masked Wolf","Astronaut In The Ocean"
20,"Papu DJ","La Guerra"
21,"La K'onga","El Mismo Aire"
22,"LA YOUNG","Como Estrellas"
23,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
24,"Luis Fonsi & Rauw Alejandro","Vacío"
25,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
26,"CNCO","Dejaría Todo"
27,"Gotye Feat. Kimbra","Somebody That I Used To Know"
28,"Boney M.","Rasputin"
29,"Gwen Stefani","Hollaback Girl"
30,"Dura DJ","Y Si el Pueblo Pide, Ponle"
31,"Kiddtetoon & Diego Smith","Illuminati"
32,"Duncan Laurence","Arcade"
33,"Boza","Hecha Pa' Mi"
34,"CNCO","Tan Enamorados"
35,"Pascal Letoublon","Friendships"
36,"Migos Feat. Young Thug","YRN"
37,"Hippie Sabotage","Devil Eyes"
38,"Kim Dracula","Paparazzi"
39,"24kGoldn Feat. iann dior","Mood"
40,"KAROL G, Anuel AA & J. Balvin","LOCATION"
41,"Humbe","Sorpresa Sorpresa"
42,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
43,"Sergio Valentino","Drive Forever"
44,"Master KG Feat. Nomcebo Zikode","Jerusalema"
45,"Bring Me The Horizon","Can You Feel My Heart"
46,"Really Slow Motion","Deadwood"
47,"Sebastián Yatra & Guaynaa","Chica Ideal"
48,"KAROL G","BICHOTA"
49,"The Kid LAROI","WITHOUT YOU"
50,"ZAYN Feat. Sia","Dusk Till Dawn"
