Shazam Top 50 Neuquén
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"The Weeknd","Save Your Tears"
6,"Kaleo","Way Down We Go"
7,"Coldplay","Hymn For The Weekend"
8,"The Weeknd","Blinding Lights"
9,"Boney M.","Rasputin"
10,"Dirty Heads","Vacation"
11,"Gwen Stefani","Hollaback Girl"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"Hippie Sabotage","Devil Eyes"
14,"David Guetta & Sia","Let's Love"
15,"Sergio Valentino","Drive Forever"
16,"kostromin","Моя голова винтом"
17,"Issam Alnajjar","Hadal Ahbek"
18,"Olivia Rodrigo","drivers license"
19,"LA YOUNG","Como Estrellas"
20,"Bring Me The Horizon","Can You Feel My Heart"
21,"Really Slow Motion","Deadwood"
22,"Duncan Laurence","Arcade"
23,"Rihanna","Where Have You Been"
24,"Masked Wolf","Astronaut In The Ocean"
25,"Mother Mother","Hay Loft"
26,"Migos Feat. Young Thug","YRN"
27,"Twenty One Pilots","Stressed Out"
28,"Dura DJ","Y Si el Pueblo Pide, Ponle"
29,"Doja Cat","Streets"
30,"Papu DJ","La Guerra"
31,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
32,"Myke Towers & Juhn","Bandido"
33,"Kim Dracula","Paparazzi"
34,"George Michael","Careless Whisper"
35,"The Neighbourhood","Sweater Weather"
36,"Pascal Letoublon","Friendships"
37,"Leat'eq","Tokyo"
38,"Tiësto","The Business"
39,"Camilo & El Alfa","BEBÉ"
40,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
41,"Nathan Evans","Wellerman (Sea Shanty)"
42,"Queen","Another One Bites The Dust"
43,"SAINt JHN","Roses (Imanbek Remix)"
44,"Tones And I","Fly Away"
45,"Luis Fonsi & Rauw Alejandro","Vacío"
46,"Daddy Yankee","PROBLEMA"
47,"Hugh Jackman & Keala Settle & Zac Efron & Zendaya & The Greatest Showman Ensemble","The Greatest Show"
48,"Kardinal Offishall Feat. Akon","Dangerous"
49,"Lewis Capaldi","Someone You Loved"
50,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
