Shazam Top 50 Oberá
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"Dirty Heads","Vacation"
3,"Kali Uchis","telepatía"
4,"Pascal Letoublon","Friendships"
5,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
6,"Kaleo","Way Down We Go"
7,"Masked Wolf","Astronaut In The Ocean"
8,"Leat'eq","Tokyo"
9,"Dura DJ","Y Si el Pueblo Pide, Ponle"
10,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
11,"24kGoldn Feat. iann dior","Mood"
12,"Sergio Valentino","Drive Forever"
13,"Myke Towers & Juhn","Bandido"
14,"Raí Saia Rodada","Tapão Na Raba"
15,"kostromin","Моя голова винтом"
16,"Desconocido","La Canción Más Misteriosa De Internet"
17,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
18,"Tesher","Jalebi Baby"
19,"Bizarrap & Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36"
20,"NICKI NICOLE, Dread Mar I & Bizarrap","Verte"
21,"Olivia Rodrigo","drivers license"
22,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
23,"Gabriel O Príncipe","Acaso"
24,"The Neighbourhood","Sweater Weather"
25,"Henrique & Juliano Feat. Os Hawaianos","Mistura Louca (Ao Vivo)"
26,"Goose house","Hikarunara"
27,"Boney M.","Rasputin"
28,"Israel Kamakawiwo'ole","Over The Rainbow"
29,"Humberto & Ronaldo","Dois Loucos De Amor"
30,"Coldplay","Hymn For The Weekend"
31,"Fat Joe & Remy Ma Feat. French Montana & Infared","All the Way Up"
32,"Gwen Stefani","Hollaback Girl"
33,"Doja Cat","Go To Town"
34,"Really Slow Motion","Deadwood"
35,"Never Get Used To People","Life Letters"
36,"Cupid","Cupid Shuffle"
37,"Toto","Hold The Line"
38,"Tones And I","Dance Monkey"
39,"Chris Brown Feat. Drake","No Guidance"
40,"SAINt JHN","Roses (Imanbek Remix)"
41,"SZA & Justin Timberlake","The Other Side"
42,"DJ Guuga","Arrocha Dos Cornos"
43,"The Weeknd","Save Your Tears"
44,"Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)"
45,"ElyOtto & Zedivan","Sugar Crash"
46,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
47,"Ozuna & Camilo","Despeinada"
48,"Macklemore & Ryan Lewis Feat. Ray Dalton","Can't Hold Us"
49,"Issam Alnajjar","Hadal Ahbek"
50,"MEDUZA Feat. Dermot Kennedy","Paradise"
