Shazam Top 50 Posadas
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Kaleo","Way Down We Go"
4,"The Weeknd","Blinding Lights"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"kostromin","Моя голова винтом"
7,"Pascal Letoublon","Friendships"
8,"Boney M.","Rasputin"
9,"DJ Guuga","Acompanha O Grave"
10,"Masked Wolf","Astronaut In The Ocean"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Hippie Sabotage","Devil Eyes"
13,"Duncan Laurence","Arcade"
14,"Myke Towers & Juhn","Bandido"
15,"Olivia Rodrigo","drivers license"
16,"Dirty Heads","Vacation"
17,"Papu DJ","La Guerra"
18,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
19,"Kim Dracula","Paparazzi"
20,"jusLo","BIG BANK"
21,"Luis Fonsi & Rauw Alejandro","Vacío"
22,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
23,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
24,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
25,"Gotye Feat. Kimbra","Somebody That I Used To Know"
26,"Issam Alnajjar","Hadal Ahbek"
27,"Migos Feat. Young Thug","YRN"
28,"SAINt JHN","Roses (Imanbek Remix)"
29,"Harry Styles","Watermelon Sugar"
30,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
31,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
32,"Humbe","Sorpresa Sorpresa"
33,"Baby Bash","Suga Suga"
34,"Capone","Streets Favorite"
35,"LA YOUNG","Como Estrellas"
36,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
37,"Talento De Barrio Feat. Diego Rios Y So P","Dejame (Dejate Amar;Acústico En Paraguay)"
38,"SZA & Justin Timberlake","The Other Side"
39,"Mother Mother","Hay Loft"
40,"CNCO","Tan Enamorados"
41,"Fer Palacio","Previa y Cachengue 38 (Remix)"
42,"The Neighbourhood","Sweater Weather"
43,"Crystal Waters","Gypsy Woman (La Da Dee Da Da Da)"
44,"Grover Washington Jr.","Just The Two Of Us"
45,"Twenty One Pilots","Stressed Out"
46,"Really Slow Motion","Deadwood"
47,"Lewis Capaldi","Someone You Loved"
48,"The Weeknd","Save Your Tears"
49,"BTS","Dynamite"
50,"Papichamp, L-Gante & Blunted Vato Feat. ECKO","Combi Nueva"
