Shazam Top 50 Puerto Eldorado
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Sergio Valentino","Drive Forever"
2,"Dirty Heads","Vacation"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Masked Wolf","Astronaut In The Ocean"
5,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
6,"Boney M.","Rasputin"
7,"The Weeknd","Blinding Lights"
8,"Kali Uchis","telepatía"
9,"Pascal Letoublon","Friendships"
10,"Papu DJ","La Guerra"
11,"DJ Guuga","Acompanha O Grave"
12,"Raí Saia Rodada","Tapão Na Raba"
13,"Bring Me The Horizon","Can You Feel My Heart"
14,"Migos Feat. Young Thug","YRN"
15,"Kaleo","Way Down We Go"
16,"Coldplay","Hymn For The Weekend"
17,"Hippie Sabotage","Devil Eyes"
18,"Darkiell","Sigue Bailandome"
19,"Duncan Laurence","Arcade"
20,"ElyOtto & Zedivan","Sugar Crash"
21,"Mambo DJ","El Goloso RKT"
22,"Farruko","Va A Ser Abuela"
23,"Mc Rennan","Cai De Vagarinho Até Embaixo"
24,"Myke Towers & Juhn","Bandido"
25,"DJ Ivis Feat. Tarcísio do Acordeon","Esquema Preferido"
26,"Os Barões da Pisadinha","Esquema Preferido (Ao Vivo)"
27,"kostromin","Моя голова винтом"
28,"BASSTEROID","Somebody To Love (Rework)"
29,"SoulChef Feat. Nieve","Write This Down"
30,"Magic!","Rude"
31,"Roxette","Dressed For Success (Us Single Mix)"
32,"Super Quinteto","Tres Noches"
33,"George Harrison","Got My Mind Set On You"
34,"Twenty One Pilots","Stressed Out"
35,"Beyonce","Survivor (Sickick Trap Remix)"
36,"John Farnham","You're The Voice"
37,"Consoul Trainin Feat. Steven Aderinto & DuoViolins","Obsession"
38,"Baby Bash","Suga Suga"
39,"Drake","God's Plan"
40,"Max Styler Feat. Ella Boh","Sleep Alone"
41,"Aya Nakamura","Copines"
42,"Kidd Keo","Dracukeo"
43,"Lewis Capaldi","Someone You Loved"
44,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
45,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
46,"Desconocido","La Canción Más Misteriosa De Internet"
47,"David Guetta Feat. KiD CuDi","Memories"
48,"Los Ángeles Azules Feat. Abel Pintos","Y la Hice Llorar"
49,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
50,"Justin Bieber Feat. Chance The Rapper","Confident (Chovies Remix)"
