Shazam Top 50 Resistencia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"The Weeknd","Blinding Lights"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Olivia Rodrigo","drivers license"
7,"kostromin","Моя голова винтом"
8,"Boney M.","Rasputin"
9,"Hippie Sabotage","Devil Eyes"
10,"Pascal Letoublon","Friendships"
11,"The Weeknd","Save Your Tears"
12,"David Guetta & Sia","Let's Love"
13,"Dirty Heads","Vacation"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Kaleo","Way Down We Go"
16,"Myke Towers & Juhn","Bandido"
17,"LA YOUNG","Como Estrellas"
18,"Dura DJ","Y Si el Pueblo Pide, Ponle"
19,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
20,"Duncan Laurence","Arcade"
21,"Foster, Sody & Sarcastic Sounds","fools (can't help falling in love)"
22,"Gotye Feat. Kimbra","Somebody That I Used To Know"
23,"Luis Fonsi & Rauw Alejandro","Vacío"
24,"Humbe","Sorpresa Sorpresa"
25,"Pháo","2 Phút Hơn [KAIZ Remix]"
26,"Leat'eq","Tokyo"
27,"Gwen Stefani","Hollaback Girl"
28,"Papu DJ","La Guerra"
29,"Really Slow Motion","Deadwood"
30,"Sheck Wes","Mo Bamba"
31,"Doja Cat","Streets"
32,"SoFaygo","Knock Knock"
33,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
34,"Migos Feat. Young Thug","YRN"
35,"Bring Me The Horizon","Can You Feel My Heart"
36,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
37,"Post Malone","Circles"
38,"Harry Styles","Watermelon Sugar"
39,"Fer Palacio","Previa y Cachengue 38 (Remix)"
40,"Camilo & El Alfa","BEBÉ"
41,"Humbe","tú me hiciste volar"
42,"Kiddtetoon & Diego Smith","Illuminati"
43,"Issam Alnajjar","Hadal Ahbek"
44,"Rauw Alejandro & Anuel AA","Reloj"
45,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
46,"Bruno Mars","Locked Out Of Heaven"
47,"Baby Bash","Suga Suga"
48,"Kim Dracula","Paparazzi"
49,"Queen","Another One Bites The Dust"
50,"Twenty One Pilots","Stressed Out"
