Shazam Top 50 Rosario
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Olivia Rodrigo","drivers license"
2,"Kali Uchis","telepatía"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"The Weeknd","Save Your Tears"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Myke Towers & Juhn","Bandido"
7,"Papu DJ","La Guerra"
8,"Desconocido","La Canción Más Misteriosa De Internet"
9,"David Guetta & Sia","Let's Love"
10,"Dura DJ","Y Si el Pueblo Pide, Ponle"
11,"The Weeknd","Blinding Lights"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"Kartashow & Мари Краймбрери","Золото (Rakurs & Ramirez Remix)"
14,"kostromin","Моя голова винтом"
15,"CNCO","Tan Enamorados"
16,"Dua Lipa","We're Good"
17,"Sebastián Yatra & Guaynaa","Chica Ideal"
18,"Boney M.","Rasputin"
19,"Tiësto","The Business"
20,"Bring Me The Horizon","Can You Feel My Heart"
21,"Topic & A7S","Breaking Me"
22,"Kaleo","Way Down We Go"
23,"SAINt JHN","Roses (Imanbek Remix)"
24,"Camilo & El Alfa","BEBÉ"
25,"Harry Styles","Watermelon Sugar"
26,"24kGoldn Feat. iann dior","Mood"
27,"Hippie Sabotage","Devil Eyes"
28,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
29,"Maria Becerra & Cazzu","Animal"
30,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
31,"Pascal Letoublon","Friendships"
32,"Gwen Stefani","Hollaback Girl"
33,"BTS","Dynamite"
34,"Kim Dracula","Paparazzi"
35,"Luis Fonsi & Rauw Alejandro","Vacío"
36,"Harry Styles","Golden"
37,"LA YOUNG","Como Estrellas"
38,"Maria Becerra & Rusherking","Confiesalo"
39,"Camilo","Ropa Cara"
40,"Masked Wolf","Astronaut In The Ocean"
41,"SZA & Justin Timberlake","The Other Side"
42,"Los Ángeles Azules Feat. Vicentico","Cómo Te Voy a Olvidar"
43,"KAROL G","BICHOTA"
44,"CNCO","Dejaría Todo"
45,"Lewis Capaldi","Someone You Loved"
46,"Duncan Laurence","Arcade"
47,"Tones And I","Dance Monkey"
48,"Harry Styles","Sign Of The Times"
49,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
50,"Joel Corry Feat. MNEK","Head & Heart"
