Shazam Top 50 Río Gallegos
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"The Weeknd","Save Your Tears"
6,"Bring Me The Horizon","Can You Feel My Heart"
7,"Leat'eq","Tokyo"
8,"kostromin","Моя голова винтом"
9,"Momokurotei Ichimon","Nippon Egao Hyakkei"
10,"Queen","Another One Bites The Dust"
11,"Humbe","Sorpresa Sorpresa"
12,"Coldplay","Hymn For The Weekend"
13,"Gwen Stefani","Hollaback Girl"
14,"Leyla Blue","What A Shame"
15,"SZA & Justin Timberlake","The Other Side"
16,"Sergio Valentino","Drive Forever"
17,"Nathan Evans","Wellerman (Sea Shanty)"
18,"AURORA","Runaway"
19,"The Weeknd Feat. Daft Punk","I Feel It Coming"
20,"Masked Wolf","Astronaut In The Ocean"
21,"La Delio Valdez","Inocente (En Vivo)"
22,"Los Ángeles Azules Feat. Abel Pintos","Y la Hice Llorar"
23,"Kiddtetoon & Diego Smith","Illuminati"
24,"Kaito Shoma & DJ Paul","Scary Garry"
25,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
26,"Kim Dracula","Paparazzi"
27,"Humbe","tú me hiciste volar"
28,"David Guetta Feat. Nicki Minaj & Bebe Rexha & Afrojack","Hey Mama"
29,"Eminem","The Real Slim Shady"
30,"Depeche Mode","Enjoy The Silence"
31,"Twenty One Pilots","Stressed Out"
32,"Hippie Sabotage","Devil Eyes"
33,"Labrinth","Still Don't Know My Name"
34,"LA YOUNG","Como Estrellas"
35,"Chema Rivas","Entre Tú y Yo"
36,"La K'onga","El Mismo Aire"
37,"Shakira Feat. El Cata","Rabiosa"
38,"ATB, Topic & A7S","Your Love (9PM)"
39,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
40,"Olivia Rodrigo","drivers license"
41,"Maria Becerra","Acaramelao"
42,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
43,"Winter Aid","The Wisp Sings"
44,"Indila","Dernière Danse"
45,"Migos Feat. Young Thug","YRN"
46,"Hombres G","Devuelveme A Mi Chica"
47,"Spandau Ballet","Through The Barricades (Extended Version)"
48,"Primal Scream & Kate Moss","Some Velvet Morning (New Version)"
49,"Al Corley","Square Rooms"
50,"Aventura","Obsesion"
