Shazam Top 50 Salta
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"Olivia Rodrigo","drivers license"
6,"kostromin","Моя голова винтом"
7,"Kaleo","Way Down We Go"
8,"LA YOUNG","Como Estrellas"
9,"Myke Towers & Juhn","Bandido"
10,"Papu DJ","La Guerra"
11,"Masked Wolf","Astronaut In The Ocean"
12,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
13,"The Weeknd","Blinding Lights"
14,"Kiddtetoon & Diego Smith","Illuminati"
15,"Boney M.","Rasputin"
16,"Gotye Feat. Kimbra","Somebody That I Used To Know"
17,"Bring Me The Horizon","Can You Feel My Heart"
18,"Duncan Laurence","Arcade"
19,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
20,"Aya Nakamura","Copines"
21,"Kim Dracula","Paparazzi"
22,"The Weeknd","Save Your Tears"
23,"Pascal Letoublon","Friendships"
24,"Dura DJ","Y Si el Pueblo Pide, Ponle"
25,"Gwen Stefani","Hollaback Girl"
26,"Tiësto","The Business"
27,"Issam Alnajjar","Hadal Ahbek"
28,"Leat'eq","Tokyo"
29,"Doja Cat","Streets"
30,"CNCO","Tan Enamorados"
31,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
32,"Tesher","Jalebi Baby"
33,"Dirty Heads","Vacation"
34,"Sia","Snowman"
35,"Ariana Grande & Doja Cat","motive"
36,"Bruno Mars","Locked Out Of Heaven"
37,"Hippie Sabotage","Devil Eyes"
38,"Leyla Blue","What A Shame"
39,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
40,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
41,"Stefflon Don","16 Shots"
42,"BTS","Dynamite"
43,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
44,"CNCO","Dejaría Todo"
45,"Camilo & El Alfa","BEBÉ"
46,"Luis Fonsi & Rauw Alejandro","Vacío"
47,"Ludovico Einaudi","Experience"
48,"Rauw Alejandro & Anuel AA","Reloj"
49,"Pháo","2 Phút Hơn [KAIZ Remix]"
50,"Humbe","Sorpresa Sorpresa"
