Shazam Top 50 San Carlos de Bariloche
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"kostromin","Моя голова винтом"
4,"The Weeknd","Blinding Lights"
5,"Olivia Rodrigo","drivers license"
6,"Gotye Feat. Kimbra","Somebody That I Used To Know"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Kaleo","Way Down We Go"
9,"Pascal Letoublon","Friendships"
10,"LA YOUNG","Como Estrellas"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"The Weeknd","Save Your Tears"
13,"Twenty One Pilots","Stressed Out"
14,"Leat'eq","Tokyo"
15,"Hippie Sabotage","Devil Eyes"
16,"Baby Bash","Suga Suga"
17,"SAINt JHN","Roses (Imanbek Remix)"
18,"Harry Styles","Watermelon Sugar"
19,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
20,"Sebastián Yatra & Guaynaa","Chica Ideal"
21,"Rauw Alejandro & Anuel AA","Reloj"
22,"CNCO","Dejaría Todo"
23,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
24,"Kim Dracula","Paparazzi"
25,"The Living Tombstone Feat. BlackGryph0n & LittleJayneyCakes","No Mercy"
26,"Imagine Dragons","Believer"
27,"Masked Wolf","Astronaut In The Ocean"
28,"Harry Styles","Golden"
29,"Harry Styles","Adore You"
30,"Master KG Feat. Nomcebo Zikode","Jerusalema"
31,"Topic & A7S","Breaking Me"
32,"Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)"
33,"BTS","Dynamite"
34,"Sergio Valentino","Drive Forever"
35,"Ariana Grande & Doja Cat","motive"
36,"Myke Towers & Juhn","Bandido"
37,"Camilo & El Alfa","BEBÉ"
38,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
39,"Luis Fonsi & Rauw Alejandro","Vacío"
40,"SoulChef Feat. Nieve","Write This Down"
41,"Momokurotei Ichimon","Nippon Egao Hyakkei"
42,"Migos Feat. Young Thug","YRN"
43,"The Verve","Bitter Sweet Symphony"
44,"Dirty Heads","Vacation"
45,"Cutting Crew","(I Just) Died In Your Arms"
46,"Syke 'N' Sugarstarr","Ticket 2 Ride (Syke`n`Sugarstarr Orginal Mix)"
47,"Never Get Used To People","Life Letters"
48,"MJ Cole & Freya Ridings","Waking Up"
49,"SoFaygo","Knock Knock"
50,"La Delio Valdez","Inocente (En Vivo)"
