Shazam Top 50 San Juan
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Myke Towers & Juhn","Bandido"
4,"LA YOUNG","Como Estrellas"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Kaleo","Way Down We Go"
7,"Olivia Rodrigo","drivers license"
8,"kostromin","Моя голова винтом"
9,"The Weeknd","Save Your Tears"
10,"Duncan Laurence","Arcade"
11,"Rauw Alejandro & Anuel AA","Reloj"
12,"Pascal Letoublon","Friendships"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Desconocido","La Canción Más Misteriosa De Internet"
15,"Boney M.","Rasputin"
16,"Gwen Stefani","Hollaback Girl"
17,"The Neighbourhood","Sweater Weather"
18,"Gotye Feat. Kimbra","Somebody That I Used To Know"
19,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
20,"Dura DJ","Y Si el Pueblo Pide, Ponle"
21,"Kiddtetoon & Diego Smith","Illuminati"
22,"Kim Dracula","Paparazzi"
23,"Hippie Sabotage","Devil Eyes"
24,"Sergio Valentino","Drive Forever"
25,"Papu DJ","La Guerra"
26,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
27,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
28,"Migos Feat. Young Thug","YRN"
29,"Sia","Snowman"
30,"Capital Cities","Safe And Sound"
31,"Rihanna","Where Have You Been"
32,"The Weeknd","Blinding Lights"
33,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
34,"Issam Alnajjar","Hadal Ahbek"
35,"Dirty Heads","Vacation"
36,"Dua Lipa","We're Good"
37,"Daddy Yankee","PROBLEMA"
38,"Queen","Another One Bites The Dust"
39,"Master KG Feat. Nomcebo Zikode","Jerusalema"
40,"Tiësto","The Business"
41,"Sebastián Yatra & Guaynaa","Chica Ideal"
42,"Maria Becerra & Rusherking","Confiesalo"
43,"Coldplay","Hymn For The Weekend"
44,"Doja Cat","Streets"
45,"Mother Mother","Hay Loft"
46,"347aidan","Dancing in My Room"
47,"Pháo","2 Phút Hơn [KAIZ Remix]"
48,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
49,"Luis Fonsi & Rauw Alejandro","Vacío"
50,"Humbe","Sorpresa Sorpresa"
