Shazam Top 50 San Luis
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Kaleo","Way Down We Go"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"kostromin","Моя голова винтом"
6,"Bring Me The Horizon","Can You Feel My Heart"
7,"Boney M.","Rasputin"
8,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
9,"Kiddtetoon & Diego Smith","Illuminati"
10,"Kim Dracula","Paparazzi"
11,"Dura DJ","Y Si el Pueblo Pide, Ponle"
12,"LA YOUNG","Como Estrellas"
13,"Olivia Rodrigo","drivers license"
14,"Migos Feat. Young Thug","YRN"
15,"The Weeknd","Save Your Tears"
16,"ElyOtto & Zedivan","Sugar Crash"
17,"Tiësto","The Business"
18,"Papu DJ","La Guerra"
19,"Coldplay","Hymn For The Weekend"
20,"CNCO","Tan Enamorados"
21,"Humbe","tú me hiciste volar"
22,"La K'onga","El Mismo Aire"
23,"Sergio Valentino","Drive Forever"
24,"Queen","Another One Bites The Dust"
25,"Hippie Sabotage","Devil Eyes"
26,"Duncan Laurence","Arcade"
27,"Pascal Letoublon","Friendships"
28,"ZAYN Feat. Sia","Dusk Till Dawn"
29,"ATB, Topic & A7S","Your Love (9PM)"
30,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
31,"The Neighbourhood","Sweater Weather"
32,"George Michael","Careless Whisper"
33,"Masked Wolf","Astronaut In The Ocean"
34,"Sheck Wes","Mo Bamba"
35,"Gotye Feat. Kimbra","Somebody That I Used To Know"
36,"Issam Alnajjar","Hadal Ahbek"
37,"Daft Punk Feat. Pharrell Williams","Get Lucky"
38,"Sia","Snowman"
39,"Aya Nakamura","Copines"
40,"Fer Palacio","Previa y Cachengue 38 (Remix)"
41,"Ludovico Einaudi","Experience"
42,"Mother Mother","Hay Loft"
43,"Paul Anka","Put Your Head On My Shoulder"
44,"Twenty One Pilots","Stressed Out"
45,"Leat'eq","Tokyo"
46,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
47,"Dirty Heads","Vacation"
48,"SoFaygo","Knock Knock"
49,"Rauw Alejandro & Anuel AA","Reloj"
50,"Baby Bash","Suga Suga"
