Shazam Top 50 San Miguel de Tucumán
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"kostromin","Моя голова винтом"
5,"Olivia Rodrigo","drivers license"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"LA YOUNG","Como Estrellas"
8,"Queen","Another One Bites The Dust"
9,"Gwen Stefani","Hollaback Girl"
10,"Kaleo","Way Down We Go"
11,"Bring Me The Horizon","Can You Feel My Heart"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"The Weeknd","Blinding Lights"
14,"Twenty One Pilots","Stressed Out"
15,"Boney M.","Rasputin"
16,"Duncan Laurence","Arcade"
17,"Kiddtetoon & Diego Smith","Illuminati"
18,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
19,"BTS","Dynamite"
20,"Issam Alnajjar","Hadal Ahbek"
21,"Papu DJ","La Guerra"
22,"Bruno Mars","Locked Out Of Heaven"
23,"Aya Nakamura","Copines"
24,"Dura DJ","Y Si el Pueblo Pide, Ponle"
25,"Myke Towers & Juhn","Bandido"
26,"Pascal Letoublon","Friendships"
27,"The Weeknd","Save Your Tears"
28,"Ludovico Einaudi","Experience"
29,"Leat'eq","Tokyo"
30,"Masked Wolf","Astronaut In The Ocean"
31,"Kardinal Offishall Feat. Akon","Dangerous"
32,"Paul Anka","Put Your Head On My Shoulder"
33,"Magic!","Rude"
34,"Migos Feat. Young Thug","YRN"
35,"Darkiell","Sigue Bailandome"
36,"Rauw Alejandro & Anuel AA","Reloj"
37,"Luis Fonsi & Rauw Alejandro","Vacío"
38,"Doja Cat","Streets"
39,"Supermode","Tell Me Why"
40,"Mother Mother","Hay Loft"
41,"La K'onga","El Mismo Aire"
42,"Rihanna","Where Have You Been"
43,"The Kid LAROI","WITHOUT YOU"
44,"Kim Dracula","Paparazzi"
45,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
46,"Lady Gaga","Poker Face"
47,"Harry Styles","Watermelon Sugar"
48,"Jvla","Such a Whore (Stellular Remix)"
49,"Pháo","2 Phút Hơn [KAIZ Remix]"
50,"Fer Palacio","Previa y Cachengue 38 (Remix)"
