Shazam Top 50 Santa Fe
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Olivia Rodrigo","drivers license"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"The Weeknd","Save Your Tears"
7,"Kaleo","Way Down We Go"
8,"The Weeknd","Blinding Lights"
9,"CNCO","Tan Enamorados"
10,"Boney M.","Rasputin"
11,"Hippie Sabotage","Devil Eyes"
12,"Masked Wolf","Astronaut In The Ocean"
13,"kostromin","Моя голова винтом"
14,"Pascal Letoublon","Friendships"
15,"LA YOUNG","Como Estrellas"
16,"Gotye Feat. Kimbra","Somebody That I Used To Know"
17,"Myke Towers & Juhn","Bandido"
18,"Papu DJ","La Guerra"
19,"Fer Palacio","Previa y Cachengue 38 (Remix)"
20,"Dura DJ","Y Si el Pueblo Pide, Ponle"
21,"Master KG Feat. Nomcebo Zikode","Jerusalema"
22,"24kGoldn Feat. iann dior","Mood"
23,"Tiësto","The Business"
24,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
25,"Kim Dracula","Paparazzi"
26,"Leat'eq","Tokyo"
27,"Kiddtetoon & Diego Smith","Illuminati"
28,"La K'onga","El Mismo Aire"
29,"Humbe","tú me hiciste volar"
30,"Duncan Laurence","Arcade"
31,"Twenty One Pilots","Stressed Out"
32,"David Guetta & Sia","Let's Love"
33,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
34,"Queen","Another One Bites The Dust"
35,"Boza","Hecha Pa' Mi"
36,"Migos Feat. Young Thug","YRN"
37,"Issam Alnajjar","Hadal Ahbek"
38,"Nathan Evans","Wellerman (Sea Shanty)"
39,"Bring Me The Horizon","Can You Feel My Heart"
40,"Canyon City","Fix You"
41,"Gwen Stefani","Hollaback Girl"
42,"Kardinal Offishall Feat. Akon","Dangerous"
43,"Doja Cat","Streets"
44,"Camilo & El Alfa","BEBÉ"
45,"Angela Torres","LNDF"
46,"Ludovico Einaudi","Experience"
47,"Baby Bash","Suga Suga"
48,"Aya Nakamura","Copines"
49,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
50,"Rihanna","Where Have You Been"
