Shazam Top 50 Santa Rosa
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"ElyOtto & Zedivan","Sugar Crash"
2,"Gotye Feat. Kimbra","Somebody That I Used To Know"
3,"Kali Uchis","telepatía"
4,"Bring Me The Horizon","Can You Feel My Heart"
5,"Boney M.","Rasputin"
6,"Alessia Cara","Here (Lucian Remix)"
7,"Harry Styles","Sign Of The Times"
8,"Desconocido","La Canción Más Misteriosa De Internet"
9,"Doja Cat","Streets"
10,"Mother Mother","Burning Pile"
11,"Tiësto","The Business"
12,"Michael Sembello","Maniac (Flashdance Version)"
13,"Olivia Rodrigo","drivers license"
14,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
15,"Migos Feat. Young Thug","YRN"
16,"Twenty One Pilots","Stressed Out"
17,"Kaleo","Way Down We Go"
18,"Dura DJ","Y Si el Pueblo Pide, Ponle"
19,"Masked Wolf","Astronaut In The Ocean"
20,"Darell & Brytiago","Velitas"
21,"LA YOUNG","Como Estrellas"
22,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
23,"Rihanna","Where Have You Been"
24,"kostromin","Моя голова винтом"
25,"Humbe","tú me hiciste volar"
26,"Justin Timberlake","Rock Your Body"
27,"Aqua","Barbie Girl"
28,"Mixtape Ministries Feat. PyRexx, Clay G & Tony B","Take Me To Church"
29,"Michael Sembello","Maniac"
30,"Jesse & Joy","Dueles"
31,"Hippie Sabotage","Devil Eyes"
32,"Kardinal Offishall Feat. Akon","Dangerous"
33,"Lady Gaga","Poker Face"
34,"SAINt JHN","Roses (Imanbek Remix)"
35,"The Weeknd","Blinding Lights"
36,"SZA & Justin Timberlake","The Other Side"
37,"CNCO","Tan Enamorados"
38,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
39,"BASSTEROID","Somebody To Love (Rework)"
40,"Billy Davis Feat. Ruel & Genesis Owusu","Dream No More"
41,"Alessia Cara & Lucian","Here (Lucian Remix)"
42,"The Neighbourhood","Sweater Weather"
43,"Tom Odell","Another Love"
44,"Daft Punk Feat. Pharrell Williams","Get Lucky"
45,"Nicky Jam","Voy A Beber"
46,"T.A.T.U.","All The Things She Said"
47,"Alba Llibre","Falling In Love"
48,"Cachumba","Quien Se Tomo Todo El Vino (En Vivo)"
49,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
50,"George Michael","Careless Whisper"
