Shazam Top 50 Trelew
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"The Weeknd","Blinding Lights"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Indila","Dernière Danse"
5,"Olivia Rodrigo","drivers license"
6,"kostromin","Моя голова винтом"
7,"Rodrigo Tapari","Es Tan Grande Este Amor"
8,"Desconocido","La Canción Más Misteriosa De Internet"
9,"Dillom, Evar & Omar Varela","DUDADE"
10,"Migrantes & Alico","Si Me Tomo Una Cerveza"
11,"CNCO","Tan Enamorados"
12,"Maria Becerra & Cazzu","Animal"
13,"The Neighbourhood","Sweater Weather"
14,"Ludovico Einaudi","Experience"
15,"Roar","I Can't Handle Change"
16,"Boney M.","Rasputin"
17,"A-Ha","Take On Me"
18,"Cat Stevens","Father And Son"
19,"Kaleo","Way Down We Go"
20,"Stefflon Don","16 Shots"
21,"Aerosmith","Dream On"
22,"Masego & FKJ","Tadow"
23,"Sheck Wes","Mo Bamba"
24,"Gwen Stefani","Hollaback Girl"
25,"Gnarls Barkley","Crazy"
26,"Justin Timberlake Feat. Timbaland","Sexyback"
27,"Masked Wolf","Astronaut In The Ocean"
28,"Maroon 5","Memories"
29,"Labrinth","Formula"
30,"The Weeknd","In Your Eyes"
31,"Mother Mother","Hay Loft"
32,"Capital Cities","Safe And Sound"
33,"ElyOtto & Zedivan","Sugar Crash"
34,"Gotye Feat. Kimbra","Somebody That I Used To Know"
35,"Sebastián Yatra & Guaynaa","Chica Ideal"
36,"Edith Whiskers","Home"
37,"C. Tangana, Niño de Elche & La Hungara","Tú Me Dejaste De Querer"
38,"Kim Dracula","Paparazzi"
39,"Airbag","Cae El Sol"
40,"Bruno Mars","Locked Out Of Heaven"
41,"Tom Odell","Another Love"
42,"Pharoahe Monch","Simon Says"
43,"Migos Feat. Young Thug","YRN"
44,"Banda XXI","Qué Bonito"
45,"Kikuo","Love Me, Love Me, Love Me"
46,"Eminem","The Real Slim Shady"
47,"Bruce Springsteen","Dancing In The Dark"
48,"Queen","You Don't Fool Me"
49,"Lionel Richie","Hello"
50,"Alice Deejay","Better Off Alone"
