Shazam Top 50 Ushuaia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"The Weeknd","Blinding Lights"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Maroon 5","Animals"
7,"Duncan Laurence","Arcade"
8,"Rauw Alejandro & Anuel AA","Reloj"
9,"Myke Towers & Juhn","Bandido"
10,"Israel Kamakawiwo'ole","Over The Rainbow"
11,"Aya Nakamura","Copines"
12,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
13,"Mother Mother","Burning Pile"
14,"Olivia Rodrigo","drivers license"
15,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
16,"OutKast","Hey Ya!"
17,"Hippie Sabotage","Devil Eyes"
18,"Berlin","Take My Breath Away"
19,"Supermode","Tell Me Why"
20,"Masked Wolf","Astronaut In The Ocean"
21,"The Weeknd","Save Your Tears"
22,"Issam Alnajjar","Hadal Ahbek"
23,"KAROL G","BICHOTA"
24,"Edith Whiskers","Home"
25,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
26,"Pháo","2 Phút Hơn [KAIZ Remix]"
27,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
28,"Dua Lipa","We're Good"
29,"Humbe","Sorpresa Sorpresa"
30,"SoulChef Feat. Nieve","Write This Down"
31,"Marina & The Diamonds","Bubblegum Bitch"
32,"Milky Chance","Stolen Dance"
33,"Bring Me The Horizon","Can You Feel My Heart"
34,"Kansas","Dust In The Wind"
35,"Migos Feat. Young Thug","YRN"
36,"Lukas Graham","Mama Said"
37,"Calvin Harris Feat. HAIM","Pray To God"
38,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
39,"Coldplay","Yellow"
40,"Queen","Another One Bites The Dust"
41,"Fleetwood Mac","Dreams"
42,"Boney M.","Rasputin"
43,"The Cranberries","Dreams"
44,"Michael Sembello","Maniac"
45,"Roy Orbison","You Got It"
46,"Canyon City","Fix You"
47,"The Cranberries","When You're Gone"
48,"Jósean Log","Chachachá"
49,"Imagine Dragons","Believer"
50,"Gloria Trevi & Alejandra Guzmán","Más Buena"
