Shazam Top 50 Viedma
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"BTS","Dynamite"
3,"Kaleo","Way Down We Go"
4,"BTS","Life Goes On"
5,"kostromin","Моя голова винтом"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"Masked Wolf","Astronaut In The Ocean"
8,"Pascal Letoublon","Friendships"
9,"Dura DJ","Y Si el Pueblo Pide, Ponle"
10,"The Weeknd","Blinding Lights"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Camilo & El Alfa","BEBÉ"
13,"Fer Palacio","Previa y Cachengue 38 (Remix)"
14,"Natalia Lafourcade","Nunca Es Suficiente"
15,"Boney M.","Rasputin"
16,"Coldplay","Hymn For The Weekend"
17,"Nebu Kiniza","Gassed Up"
18,"ZAYN Feat. Sia","Dusk Till Dawn"
19,"Rauw Alejandro Feat. Chencho","El Efecto"
20,"SoFaygo","Knock Knock"
21,"Desconocido","La Canción Más Misteriosa De Internet"
22,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
23,"Sergio Valentino","Drive Forever"
24,"Maria Becerra & Rusherking","Confiesalo"
25,"Migrantes, Oscu & Rombai Feat. Agapornis, Alico & Nico Valdi","Si Me Tomo una Cerveza (Remix)"
26,"Kim Dracula","Paparazzi"
27,"Olivia Rodrigo","drivers license"
28,"Humbe","tú me hiciste volar"
29,"Post Malone","Only Wanna Be With You (Pokémon 25 Version)"
30,"The Neighbourhood","Sweater Weather"
31,"Bring Me The Horizon","Can You Feel My Heart"
32,"Indila","Dernière Danse"
33,"Lilly Wood & The Prick & Robin Schulz","Prayer In C (Robin Schulz Radio Edit)"
34,"Eminem","Without Me"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
36,"George Michael","Careless Whisper"
37,"Queen","Another One Bites The Dust"
38,"Twenty One Pilots","Stressed Out"
39,"Twenty One Pilots","Hometown"
40,"Alannah Myles","Black Velvet"
41,"4 Non Blondes","What's Up?"
42,"Hippie Sabotage","Devil Eyes"
43,"Drake Feat. WizKid & Kyla","One Dance"
44,"Else","Paris"
45,"Sia","Snowman"
46,"Romy Wave","Believer (Not So Good Remix)"
47,"Papu DJ","La Guerra"
48,"Facu Y La Fuerza Feat. Q´Lokura","Disfruto"
49,"Aya Nakamura","Copines"
50,"Intoxicados","Nunca Quise"
