Shazam Top 50 Villa Mercedes
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kaleo","Way Down We Go"
2,"Dura DJ","Y Si el Pueblo Pide, Ponle"
3,"Gotye Feat. Kimbra","Somebody That I Used To Know"
4,"Olivia Rodrigo","drivers license"
5,"Louis Tomlinson","Defenceless"
6,"Kali Uchis","telepatía"
7,"Myke Towers & Juhn","Bandido"
8,"Bring Me The Horizon","Can You Feel My Heart"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Tiësto","The Business"
11,"Sergio Valentino","Drive Forever (Remix)"
12,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
13,"MGMT","Little Dark Age"
14,"Masked Wolf","Astronaut In The Ocean"
15,"LA YOUNG","Como Estrellas"
16,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
17,"The Weeknd","Save Your Tears"
18,"kostromin","Моя голова винтом"
19,"Fer Palacio","Previa y Cachengue 38 (Remix)"
20,"Boney M.","Rasputin"
21,"Farruko & Bad Bunny & Ozuna feat. Arcangel & Nengo Flow & Dj Luian & Mambo Kings","Diles"
22,"Gemini","The Turnaround"
23,"Pascal Letoublon","Friendships"
24,"Darkiell","Sigue Bailandome"
25,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
26,"Sergio Valentino","Drive Forever"
27,"Imagination","Just An Illusion"
28,"KAROL G","BICHOTA"
29,"Ariana Grande & Doja Cat","motive"
30,"CNCO","Tan Enamorados"
31,"Camilo & El Alfa","BEBÉ"
32,"Humbe","tú me hiciste volar"
33,"SoulChef Feat. Nieve","Write This Down"
34,"Bruno Mars","Locked Out Of Heaven"
35,"Ludovico Einaudi","Experience"
36,"Israel Kamakawiwo'ole","Over The Rainbow"
37,"The Neighbourhood","The Beach"
38,"Dirty Heads","Vacation"
39,"Sheck Wes","Mo Bamba"
40,"Gwen Stefani","Hollaback Girl"
41,"Capone","Streets Favorite"
42,"Hiboky","Exil"
43,"Duncan Laurence","Arcade"
44,"Doja Cat","Streets"
45,"BTS","Dynamite"
46,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
47,"C. Tangana, Niño de Elche & La Hungara","Tú Me Dejaste De Querer"
48,"Rauw Alejandro & Anuel AA","Reloj"
49,"Nicky Jam & Myke Towers","Polvo"
50,"#TocoParaVos, El Reja & Marka Akme","Se Picó"
