Shazam Discovery Chile
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"kostromin","Моя голова винтом"
2,"Nathan Evans","Wellerman (Sea Shanty)"
3,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
4,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
5,"DJ Guuga","Acompanha O Grave"
6,"Riton & Nightcrawlers Feat. Mufasa & Hypeman","Friday [Dopamine Re-Edit]"
7,"Eyedress","Jealous"
8,"Yeremih NoMercy","Dale Corte (Con Luxian, Keishon Trigga y S4vage)"
9,"BASSTEROID","Somebody To Love (Rework)"
10,"Aqyila","Vibe for Me (Bob for Me)"
