Shazam Top 200 Chile Chart
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"BTS","Dynamite"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"The Weeknd","Blinding Lights"
7,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
8,"Olivia Rodrigo","drivers license"
9,"Myke Towers & Juhn","Bandido"
10,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
11,"kostromin","Моя голова винтом"
12,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
13,"Sech","911"
14,"The Weeknd","Save Your Tears"
15,"Gotye Feat. Kimbra","Somebody That I Used To Know"
16,"LA YOUNG","Como Estrellas"
17,"Agust D","Daechwita"
18,"Boza","Hecha Pa' Mi"
19,"Bring Me The Horizon","Can You Feel My Heart"
20,"Dura DJ","Y Si el Pueblo Pide, Ponle"
21,"Boney M.","Rasputin"
22,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
23,"Dirty Heads","Vacation"
24,"Duncan Laurence","Arcade"
25,"Gwen Stefani","Hollaback Girl"
26,"KAROL G, Anuel AA & J. Balvin","LOCATION"
27,"Momokurotei Ichimon","Nippon Egao Hyakkei"
28,"Myke Towers","Explícito"
29,"Issam Alnajjar","Hadal Ahbek"
30,"Leat'eq","Tokyo"
31,"Darkiell","Sigue Bailandome"
32,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
33,"Kaleo","Way Down We Go"
34,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
35,"Hippie Sabotage","Devil Eyes"
36,"Twenty One Pilots","Stressed Out"
37,"Tesher","Jalebi Baby"
38,"Daddy Yankee","PROBLEMA"
39,"David Guetta & Sia","Let's Love"
40,"Rihanna","Where Have You Been"
41,"CNCO","Tan Enamorados"
42,"Humbe","Sorpresa Sorpresa"
43,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
44,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
45,"Tones And I","Dance Monkey"
46,"Luis Fonsi & Rauw Alejandro","Vacío"
47,"Masked Wolf","Astronaut In The Ocean"
48,"Rauw Alejandro & Anuel AA","Reloj"
49,"Migrantes & Alico","Si Me Tomo Una Cerveza"
50,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
51,"Childish Gambino","Redbone"
52,"Queen","Another One Bites The Dust"
53,"Nathan Evans","Wellerman (Sea Shanty)"
54,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
55,"Mother Mother","Hay Loft"
56,"Migos Feat. Young Thug","YRN"
57,"Sergio Valentino","Drive Forever"
58,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
59,"Magic!","Rude"
60,"Camilo & El Alfa","BEBÉ"
61,"Harry Styles","Watermelon Sugar"
62,"Doja Cat","Streets"
63,"Coldplay","Hymn For The Weekend"
64,"Really Slow Motion","Deadwood"
65,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
66,"Aya Nakamura","Copines"
67,"Grover Washington Jr.","Just The Two Of Us"
68,"Cardi B","Up"
69,"Steve Aoki, Willy William & Sfera Ebbasta Feat. Sean Paul, El Alfa & Play-N-Skillz","Mambo"
70,"Kim Dracula","Paparazzi"
71,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
72,"Alice Deejay","Better Off Alone"
73,"Sia","Snowman"
74,"SoFaygo","Knock Knock"
75,"Tiësto","The Business"
76,"The Neighbourhood","Sweater Weather"
77,"Sam Smith","I Feel Love"
78,"AURORA","Runaway"
79,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
80,"Aaron Smith Feat. Luvli","Dancin (Krono Remix)"
81,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
82,"Anuel AA & Ozuna","Antes"
83,"Sebastián Yatra & Guaynaa","Chica Ideal"
84,"Ozuna, Doja Cat & Sia","Del Mar"
85,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
86,"Leyla Blue","What A Shame"
87,"Bad Bunny & Jhay Cortez","Dakiti"
88,"Sheck Wes","Mo Bamba"
89,"Capital Cities","Safe And Sound"
90,"Mario Guerrero & Fanny Lu","Corazones Rotos"
91,"SZA & Justin Timberlake","The Other Side"
92,"Canyon City","Fix You"
93,"Ariana Grande & Doja Cat","motive"
94,"Pascal Letoublon","Friendships"
95,"Dua Lipa","Don't Start Now"
96,"Bruno Mars","Locked Out Of Heaven"
97,"Black Eyed Peas & Shakira","GIRL LIKE ME"
98,"Lewis Capaldi","Someone You Loved"
99,"SAINt JHN","Roses (Imanbek Remix)"
100,"Papu DJ","La Guerra"
101,"Manuel García","Te Quiero (Banda Sonora Original de la Película "El Agente Topo")"
102,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
103,"4 Non Blondes","What's Up?"
104,"Israel Kamakawiwo'ole","Over The Rainbow"
105,"Gnarls Barkley","Crazy"
106,"J. Balvin, Dua Lipa, Bad Bunny & Tainy","UN DIA (ONE DAY)"
107,"Ludovico Einaudi","Experience"
108,"LP","Lost On You"
109,"Paul Anka","Put Your Head On My Shoulder"
110,"Sting","Shape Of My Heart"
111,"Farruko","La Tóxica"
112,"Tommee Profitt Feat. Fleurie & Jung Youth","In The End"
113,"Foster The People","Pumped Up Kicks"
114,"Camilo","Vida de Rico"
115,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
116,"The Weeknd","In Your Eyes"
117,"Marina & The Diamonds","Bubblegum Bitch"
118,"GIVĒON","HEARTBREAK ANNIVERSARY"
119,"Foreigner","I Want To Know What Love Is"
120,"Coolio Feat. L.V.","Gangsta's Paradise"
121,"Roar","I Can't Handle Change"
122,"Hoobastank","The Reason"
123,"Gotye","Somebody That I Used To Know (Orfeo & Klaroscoven Remix)"
124,"George Michael","Careless Whisper"
125,"KD One","Hay Que Bueno"
126,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
127,"Ed Sheeran","Perfect"
128,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
129,"IVAN ALEJANDRO","Me Enamore de Ti"
130,"Bizarrap & Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36"
131,"Justin Quiles","Ponte Pa' Mi"
132,"Flor De Rap & Denise Rosenthal","Báilalo Mujer"
133,"Camilo","Ropa Cara"
134,"KAROL G","BICHOTA"
135,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
136,"Avicii","The Nights"
137,"Harry Styles","Sign Of The Times"
138,"SoulChef Feat. Nieve","Write This Down"
139,"Harry Styles","Golden"
140,"Edith Whiskers","Home"
141,"Supermode","Tell Me Why"
142,"Anuel AA & Ozuna","Dime Tú"
143,"Never Get Used To People","Life Letters"
144,"Kiddtetoon & Diego Smith","Illuminati"
145,"Michael Bublé","Feeling Good"
146,"Adso Alejandro","Como Si Nada"
147,"Stefflon Don","16 Shots"
148,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
149,"Daft Punk Feat. Pharrell Williams","Get Lucky"
150,"Eladio Carrión & Brytiago","3 AM"
151,"Yan Block, Jay Wheeler & DJ Nelson","Vete Pal Carajo"
152,"Pháo","2 Phút Hơn [KAIZ Remix]"
153,"FISHER","Losing It"
154,"Baby Bash","Suga Suga"
155,"Alessia Cara","Here (Lucian Remix)"
156,"La Bien Querida","Muero De Amor"
157,"Daft Punk Feat. Julian Casablancas","Instant Crush"
158,"Fleetwood Mac","Dreams"
159,"Lady Gaga","Poker Face"
160,"Drake Feat. WizKid & Kyla","One Dance"
161,"Master KG Feat. Nomcebo Zikode","Jerusalema"
162,"Farruko","Va A Ser Abuela"
163,"ZAYN Feat. Sia","Dusk Till Dawn"
164,"Humbe","tú me hiciste volar"
165,"BASSTEROID","Somebody To Love (Rework)"
166,"C. Tangana, Niño de Elche & La Hungara","Tú Me Dejaste De Querer"
167,"Rauw Alejandro","Dile a El"
168,"Kardinal Offishall Feat. Akon","Dangerous"
169,"Bronski Beat","Smalltown Boy"
170,"Maroon 5","Animals"
171,"Nicky Jam & Myke Towers","Polvo"
172,"Justin Timberlake","Rock Your Body"
173,"John Legend","All Of Me"
174,"Dylan Fuentes & Myke Towers & Dayme y El High","Ajena"
175,"The Kid LAROI","WITHOUT YOU"
176,"Tracy Chapman","Baby Can I Hold You"
177,"Crowded House","Don't Dream It's Over"
178,"Justin Quiles, Natti Natasha & Farruko Feat. Zion, Dalex & Lenny Tavárez","DJ No Pare [Remix]"
179,"Eurythmics","Sweet Dreams (Are Made Of This)"
180,"Modjo","Lady (Hear Me Tonight)"
181,"Los Farandulay","El Peludo"
182,"Cyndi Lauper","Girls Just Want To Have Fun"
183,"Chris Isaak","Wicked Game"
184,"Tom Odell","Another Love"
185,"Redbone","Come And Get Your Love"
186,"Queen","Good Old-Fashioned Lover Boy"
187,"The Weeknd Feat. Daft Punk","I Feel It Coming"
188,"Chris Lake & Armand Van Helden Feat. Arthur Baker & Victor Simonelli","The Answer"
189,"Capone","Streets Favorite"
190,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
191,"Camilo & Evaluna Montaner","Machu Picchu"
192,"Dire Straits","Sultans Of Swing"
193,"MGMT","Little Dark Age"
194,"Lil Tjay","F.N"
195,"Conan Gray","Heather"
196,"Imagine Dragons","Believer"
197,"Zion & Lennox & Myke Towers","No Me Llama"
198,"Vance Joy","Riptide"
199,"Simon la Letra Feat. Pablo Chill-E","Bloqueame"
200,"Maluma","Agua de Jamaica"
