Shazam Top 50 Antofagasta
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Myke Towers & Juhn","Bandido"
6,"The Weeknd","Blinding Lights"
7,"kostromin","Моя голова винтом"
8,"Olivia Rodrigo","drivers license"
9,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
10,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
11,"LA YOUNG","Como Estrellas"
12,"Boney M.","Rasputin"
13,"Hippie Sabotage","Devil Eyes"
14,"Myke Towers","Explícito"
15,"The Weeknd","Save Your Tears"
16,"Bring Me The Horizon","Can You Feel My Heart"
17,"CNCO","Tan Enamorados"
18,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
19,"Gotye Feat. Kimbra","Somebody That I Used To Know"
20,"Sech","911"
21,"Momokurotei Ichimon","Nippon Egao Hyakkei"
22,"Masked Wolf","Astronaut In The Ocean"
23,"Boza","Hecha Pa' Mi"
24,"Tesher","Jalebi Baby"
25,"Gwen Stefani","Hollaback Girl"
26,"Issam Alnajjar","Hadal Ahbek"
27,"Duncan Laurence","Arcade"
28,"Tones And I","Dance Monkey"
29,"Migrantes & Alico","Si Me Tomo Una Cerveza"
30,"Camilo & El Alfa","BEBÉ"
31,"Kaleo","Way Down We Go"
32,"Dura DJ","Y Si el Pueblo Pide, Ponle"
33,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
34,"Rauw Alejandro & Anuel AA","Reloj"
35,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
36,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
37,"Nathan Evans","Wellerman (Sea Shanty)"
38,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
39,"Leat'eq","Tokyo"
40,"Daddy Yankee","PROBLEMA"
41,"Grover Washington Jr.","Just The Two Of Us"
42,"Luis Fonsi & Rauw Alejandro","Vacío"
43,"Dirty Heads","Vacation"
44,"SoFaygo","Knock Knock"
45,"Sergio Valentino","Drive Forever"
46,"KAROL G, Anuel AA & J. Balvin","LOCATION"
47,"Coldplay","Hymn For The Weekend"
48,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
49,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
50,"Alice Deejay","Better Off Alone"
