Shazam Top 50 Copiapó
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
6,"Olivia Rodrigo","drivers license"
7,"kostromin","Моя голова винтом"
8,"The Weeknd","Blinding Lights"
9,"Myke Towers & Juhn","Bandido"
10,"Boza","Hecha Pa' Mi"
11,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
12,"Sech","911"
13,"Darkiell","Sigue Bailandome"
14,"The Weeknd","Save Your Tears"
15,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
16,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
17,"Dura DJ","Y Si el Pueblo Pide, Ponle"
18,"Leyla Blue","What A Shame"
19,"Gotye Feat. Kimbra","Somebody That I Used To Know"
20,"LA YOUNG","Como Estrellas"
21,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
22,"Issam Alnajjar","Hadal Ahbek"
23,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
24,"Gwen Stefani","Hollaback Girl"
25,"Myke Towers","Explícito"
26,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
27,"Migrantes & Alico","Si Me Tomo Una Cerveza"
28,"Bring Me The Horizon","Can You Feel My Heart"
29,"Leat'eq","Tokyo"
30,"Masked Wolf","Astronaut In The Ocean"
31,"CNCO","Tan Enamorados"
32,"Luis Fonsi & Rauw Alejandro","Vacío"
33,"Momokurotei Ichimon","Nippon Egao Hyakkei"
34,"Kaleo","Way Down We Go"
35,"Dirty Heads","Vacation"
36,"Duncan Laurence","Arcade"
37,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
38,"Harry Styles","Watermelon Sugar"
39,"David Guetta & Sia","Let's Love"
40,"Rihanna","Where Have You Been"
41,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
42,"Migos Feat. Young Thug","YRN"
43,"Queen","Another One Bites The Dust"
44,"KD One","Hay Que Bueno"
45,"Rauw Alejandro & Anuel AA","Reloj"
46,"Hippie Sabotage","Devil Eyes"
47,"The Weeknd","In Your Eyes"
48,"Twenty One Pilots","Stressed Out"
49,"Coldplay","Hymn For The Weekend"
50,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
