Shazam Top 50 Coquimbo
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"BTS","Dynamite"
2,"Agust D","Daechwita"
3,"Kali Uchis","telepatía"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"The Weeknd","Blinding Lights"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Sech","911"
9,"Issam Alnajjar","Hadal Ahbek"
10,"kostromin","Моя голова винтом"
11,"The Weeknd","Save Your Tears"
12,"Gotye Feat. Kimbra","Somebody That I Used To Know"
13,"Olivia Rodrigo","drivers license"
14,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
15,"Bring Me The Horizon","Can You Feel My Heart"
16,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
17,"Myke Towers & Juhn","Bandido"
18,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
19,"KAROL G, Anuel AA & J. Balvin","LOCATION"
20,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
21,"Boza","Hecha Pa' Mi"
22,"Migrantes & Alico","Si Me Tomo Una Cerveza"
23,"Grover Washington Jr.","Just The Two Of Us"
24,"Darkiell","Sigue Bailandome"
25,"Duncan Laurence","Arcade"
26,"Nathan Evans","Wellerman (Sea Shanty)"
27,"Luis Fonsi & Rauw Alejandro","Vacío"
28,"Migos Feat. Young Thug","YRN"
29,"Doja Cat","Streets"
30,"David Guetta & Sia","Let's Love"
31,"Momokurotei Ichimon","Nippon Egao Hyakkei"
32,"Twenty One Pilots","Stressed Out"
33,"Coldplay","Hymn For The Weekend"
34,"Myke Towers","Explícito"
35,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
36,"Gwen Stefani","Hollaback Girl"
37,"Dura DJ","Y Si el Pueblo Pide, Ponle"
38,"LA YOUNG","Como Estrellas"
39,"Boney M.","Rasputin"
40,"Really Slow Motion","Deadwood"
41,"Creedence Clearwater Revival","Have You Ever Seen The Rain?"
42,"Dirty Heads","Vacation"
43,"Leat'eq","Tokyo"
44,"Tones And I","Dance Monkey"
45,"Rauw Alejandro & Anuel AA","Reloj"
46,"Camilo & El Alfa","BEBÉ"
47,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
48,"Daddy Yankee","PROBLEMA"
49,"Childish Gambino","Redbone"
50,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
