Shazam Top 50 Coyhaique
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"BTS","Dynamite"
2,"Kali Uchis","telepatía"
3,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
4,"The Weeknd","Blinding Lights"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Myke Towers & Juhn","Bandido"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"The Weeknd","Save Your Tears"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Olivia Rodrigo","drivers license"
11,"Hoobastank","The Reason"
12,"Darkiell","Sigue Bailandome"
13,"Dura DJ","Y Si el Pueblo Pide, Ponle"
14,"Wisin, Myke Towers & Los Legendarios","Mi Niña"
15,"Rauw Alejandro & Anuel AA","Reloj"
16,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
17,"Sech","911"
18,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
19,"Bring Me The Horizon","Can You Feel My Heart"
20,"Boney M.","Rasputin"
21,"Haddaway","What Is Love"
22,"Dirty Heads","Vacation"
23,"Harry Styles","Watermelon Sugar"
24,"Momokurotei Ichimon","Nippon Egao Hyakkei"
25,"Queen","Another One Bites The Dust"
26,"Kat Dahlia","I Think I'm In Love"
27,"Melanie Martinez","Training Wheels"
28,"Dire Straits","Sultans Of Swing"
29,"Aya Nakamura","Copines"
30,"Estelle Feat. KanYe West","American Boy"
31,"BTS Feat. Halsey","Boy With Luv"
32,"LA YOUNG","Como Estrellas"
33,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
34,"Boza","Hecha Pa' Mi"
35,"Tiësto","The Business"
36,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
37,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
38,"Nathan Evans","Wellerman (Sea Shanty)"
39,"Luis Fonsi & Rauw Alejandro","Vacío"
40,"Daddy Yankee","PROBLEMA"
41,"Lipps, Inc.","Funkytown"
42,"Roar","I Can't Handle Change"
43,"Olaga Tanon","Basta Ya"
44,"Avicii","The Nights"
45,"Queen","Good Old-Fashioned Lover Boy"
46,"Fugees","Killing Me Softly With His Song"
47,"Elle King","America's Sweetheart"
48,"Twenty One Pilots","Stressed Out"
49,"Edwyn Collins","A Girl Like You"
50,"Childish Gambino","Redbone"
