Shazam Top 50 Iquique
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"BTS","Dynamite"
2,"Kali Uchis","telepatía"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"The Weeknd","Blinding Lights"
7,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
8,"Myke Towers & Juhn","Bandido"
9,"kostromin","Моя голова винтом"
10,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
11,"Olivia Rodrigo","drivers license"
12,"Issam Alnajjar","Hadal Ahbek"
13,"Leat'eq","Tokyo"
14,"Duncan Laurence","Arcade"
15,"Sech","911"
16,"Momokurotei Ichimon","Nippon Egao Hyakkei"
17,"The Weeknd","Save Your Tears"
18,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
19,"Bring Me The Horizon","Can You Feel My Heart"
20,"LA YOUNG","Como Estrellas"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
23,"Rihanna","Where Have You Been"
24,"Boza","Hecha Pa' Mi"
25,"KAROL G, Anuel AA & J. Balvin","LOCATION"
26,"Grover Washington Jr.","Just The Two Of Us"
27,"Boney M.","Rasputin"
28,"Hippie Sabotage","Devil Eyes"
29,"Gwen Stefani","Hollaback Girl"
30,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
31,"Kaleo","Way Down We Go"
32,"Mother Mother","Hay Loft"
33,"Tesher","Jalebi Baby"
34,"Roar","I Can't Handle Change"
35,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
36,"Camilo & El Alfa","BEBÉ"
37,"Twenty One Pilots","Stressed Out"
38,"Rauw Alejandro & Anuel AA","Reloj"
39,"Daddy Yankee","PROBLEMA"
40,"Darkiell","Sigue Bailandome"
41,"Tones And I","Dance Monkey"
42,"Migrantes & Alico","Si Me Tomo Una Cerveza"
43,"Magic!","Rude"
44,"Alice Deejay","Better Off Alone"
45,"Aya Nakamura","Copines"
46,"Nathan Evans","Wellerman (Sea Shanty)"
47,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
48,"Migos Feat. Young Thug","YRN"
49,"CNCO","Tan Enamorados"
50,"Myke Towers","Explícito"
