Shazam Top 50 Puerto Montt
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
6,"Myke Towers & Juhn","Bandido"
7,"The Weeknd","Blinding Lights"
8,"Dirty Heads","Vacation"
9,"Olivia Rodrigo","drivers license"
10,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
11,"Issam Alnajjar","Hadal Ahbek"
12,"LA YOUNG","Como Estrellas"
13,"Momokurotei Ichimon","Nippon Egao Hyakkei"
14,"Gotye Feat. Kimbra","Somebody That I Used To Know"
15,"kostromin","Моя голова винтом"
16,"Bring Me The Horizon","Can You Feel My Heart"
17,"Queen","Another One Bites The Dust"
18,"Darkiell","Sigue Bailandome"
19,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
20,"The Weeknd","Save Your Tears"
21,"Nathan Evans","Wellerman (Sea Shanty)"
22,"Childish Gambino","Redbone"
23,"CNCO","Tan Enamorados"
24,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
25,"KAROL G, Anuel AA & J. Balvin","LOCATION"
26,"Humbe","Sorpresa Sorpresa"
27,"Sia","Snowman"
28,"Leat'eq","Tokyo"
29,"Dura DJ","Y Si el Pueblo Pide, Ponle"
30,"Tesher","Jalebi Baby"
31,"Sech","911"
32,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
33,"Twenty One Pilots","Stressed Out"
34,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
35,"Boney M.","Rasputin"
36,"Gwen Stefani","Hollaback Girl"
37,"Boza","Hecha Pa' Mi"
38,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
39,"Luis Fonsi & Rauw Alejandro","Vacío"
40,"Migos Feat. Young Thug","YRN"
41,"Migrantes & Alico","Si Me Tomo Una Cerveza"
42,"Mario Guerrero & Fanny Lu","Corazones Rotos"
43,"Hippie Sabotage","Devil Eyes"
44,"David Guetta & Sia","Let's Love"
45,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
46,"Aya Nakamura","Copines"
47,"Duncan Laurence","Arcade"
48,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
49,"Harry Styles","Watermelon Sugar"
50,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
