Shazam Top 50 Punta Arenas
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Desconocido","La Canción Más Misteriosa De Internet"
2,"Kali Uchis","telepatía"
3,"The Weeknd","Blinding Lights"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Rauw Alejandro & Anuel AA","Reloj"
7,"Sech","911"
8,"Dura DJ","Y Si el Pueblo Pide, Ponle"
9,"Duncan Laurence","Arcade"
10,"Myke Towers & Juhn","Bandido"
11,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
12,"Boney M.","Rasputin"
13,"Olivia Rodrigo","drivers license"
14,"Bring Me The Horizon","Can You Feel My Heart"
15,"Queen","Another One Bites The Dust"
16,"Coldplay","Hymn For The Weekend"
17,"Camilo & El Alfa","BEBÉ"
18,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
19,"Dirty Heads","Vacation"
20,"Migrantes & Alico","Si Me Tomo Una Cerveza"
21,"Steve Aoki, Willy William & Sfera Ebbasta Feat. Sean Paul, El Alfa & Play-N-Skillz","Mambo"
22,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
23,"Boza","Hecha Pa' Mi"
24,"Gotye Feat. Kimbra","Somebody That I Used To Know"
25,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
26,"Kaleo","Way Down We Go"
27,"Gnarls Barkley","Crazy"
28,"Darkiell","Sigue Bailandome"
29,"Harry Styles","Watermelon Sugar"
30,"kostromin","Моя голова винтом"
31,"Daddy Yankee","PROBLEMA"
32,"Childish Gambino","Redbone"
33,"LA YOUNG","Como Estrellas"
34,"DaBaby Feat. Roddy Ricch","ROCKSTAR"
35,"David Guetta & Sia","Let's Love"
36,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
37,"CNCO","Tan Enamorados"
38,"Myke Towers","Explícito"
39,"Luis Fonsi & Rauw Alejandro","Vacío"
40,"Twenty One Pilots","Stressed Out"
41,"Hippie Sabotage","Devil Eyes"
42,"ZAYN Feat. Sia","Dusk Till Dawn"
43,"Gwen Stefani","Hollaback Girl"
44,"Aya Nakamura","Copines"
45,"Sam Smith","I Feel Love"
46,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
47,"Ozuna, Doja Cat & Sia","Del Mar"
48,"Issam Alnajjar","Hadal Ahbek"
49,"Kim Dracula","Paparazzi"
50,"Journey","Don't Stop Believin'"
