Shazam Top 50 Santiago
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"BTS","Dynamite"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"The Weeknd","Blinding Lights"
7,"Olivia Rodrigo","drivers license"
8,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
9,"Myke Towers & Juhn","Bandido"
10,"Agust D","Daechwita"
11,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
12,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
13,"kostromin","Моя голова винтом"
14,"The Weeknd","Save Your Tears"
15,"Gotye Feat. Kimbra","Somebody That I Used To Know"
16,"Sech","911"
17,"Boza","Hecha Pa' Mi"
18,"LA YOUNG","Como Estrellas"
19,"Boney M.","Rasputin"
20,"Bring Me The Horizon","Can You Feel My Heart"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
23,"Dura DJ","Y Si el Pueblo Pide, Ponle"
24,"Myke Towers","Explícito"
25,"Momokurotei Ichimon","Nippon Egao Hyakkei"
26,"Gwen Stefani","Hollaback Girl"
27,"Issam Alnajjar","Hadal Ahbek"
28,"Dirty Heads","Vacation"
29,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
30,"Duncan Laurence","Arcade"
31,"Leat'eq","Tokyo"
32,"Twenty One Pilots","Stressed Out"
33,"Daddy Yankee","PROBLEMA"
34,"Hippie Sabotage","Devil Eyes"
35,"Kaleo","Way Down We Go"
36,"Tones And I","Dance Monkey"
37,"David Guetta & Sia","Let's Love"
38,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
39,"Darkiell","Sigue Bailandome"
40,"Migrantes & Alico","Si Me Tomo Una Cerveza"
41,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
42,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
43,"Luis Fonsi & Rauw Alejandro","Vacío"
44,"Rihanna","Where Have You Been"
45,"Masked Wolf","Astronaut In The Ocean"
46,"Humbe","Sorpresa Sorpresa"
47,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
48,"Rauw Alejandro & Anuel AA","Reloj"
49,"Tesher","Jalebi Baby"
50,"CNCO","Tan Enamorados"
