Shazam Top 50 Talcahuano
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
6,"Olivia Rodrigo","drivers license"
7,"The Weeknd","Blinding Lights"
8,"Boza","Hecha Pa' Mi"
9,"Twenty One Pilots","Stressed Out"
10,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
11,"David Guetta & Sia","Let's Love"
12,"Sech","911"
13,"The Weeknd","Save Your Tears"
14,"Dura DJ","Y Si el Pueblo Pide, Ponle"
15,"Duncan Laurence","Arcade"
16,"LA YOUNG","Como Estrellas"
17,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
18,"kostromin","Моя голова винтом"
19,"Dirty Heads","Vacation"
20,"Gwen Stefani","Hollaback Girl"
21,"Gotye Feat. Kimbra","Somebody That I Used To Know"
22,"Myke Towers & Juhn","Bandido"
23,"KAROL G, Anuel AA & J. Balvin","LOCATION"
24,"Momokurotei Ichimon","Nippon Egao Hyakkei"
25,"Migos Feat. Young Thug","YRN"
26,"Myke Towers","Explícito"
27,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
28,"Kaleo","Way Down We Go"
29,"Childish Gambino","Redbone"
30,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
31,"Sergio Valentino","Drive Forever"
32,"Issam Alnajjar","Hadal Ahbek"
33,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
34,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
35,"Daddy Yankee","PROBLEMA"
36,"Boney M.","Rasputin"
37,"Leat'eq","Tokyo"
38,"Grover Washington Jr.","Just The Two Of Us"
39,"Masked Wolf","Astronaut In The Ocean"
40,"Harry Styles","Watermelon Sugar"
41,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
42,"GIVĒON","HEARTBREAK ANNIVERSARY"
43,"IVAN ALEJANDRO","Me Enamore de Ti"
44,"Bring Me The Horizon","Can You Feel My Heart"
45,"Hippie Sabotage","Devil Eyes"
46,"Aya Nakamura","Copines"
47,"Darkiell","Sigue Bailandome"
48,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
49,"CNCO","Tan Enamorados"
50,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
