Shazam Top 50 Temuco
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"BTS","Dynamite"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"Agust D","Daechwita"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Olivia Rodrigo","drivers license"
9,"The Weeknd","Blinding Lights"
10,"Gotye Feat. Kimbra","Somebody That I Used To Know"
11,"The Weeknd","Save Your Tears"
12,"Duncan Laurence","Arcade"
13,"Sech","911"
14,"Dura DJ","Y Si el Pueblo Pide, Ponle"
15,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
16,"kostromin","Моя голова винтом"
17,"Momokurotei Ichimon","Nippon Egao Hyakkei"
18,"Sergio Valentino","Drive Forever"
19,"Hippie Sabotage","Devil Eyes"
20,"Dirty Heads","Vacation"
21,"Kaleo","Way Down We Go"
22,"Childish Gambino","Redbone"
23,"LA YOUNG","Como Estrellas"
24,"Boney M.","Rasputin"
25,"Boza","Hecha Pa' Mi"
26,"Issam Alnajjar","Hadal Ahbek"
27,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
28,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
29,"Myke Towers & Juhn","Bandido"
30,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
31,"Darkiell","Sigue Bailandome"
32,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
33,"CNCO","Tan Enamorados"
34,"Myke Towers","Explícito"
35,"Grover Washington Jr.","Just The Two Of Us"
36,"Twenty One Pilots","Stressed Out"
37,"Gwen Stefani","Hollaback Girl"
38,"Rihanna","Where Have You Been"
39,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
40,"Tesher","Jalebi Baby"
41,"SoFaygo","Knock Knock"
42,"Mother Mother","Hay Loft"
43,"David Guetta & Sia","Let's Love"
44,"KAROL G, Anuel AA & J. Balvin","LOCATION"
45,"Pascal Letoublon","Friendships"
46,"Rihanna","Needed Me (Cosmic Dawn Club Mix)"
47,"Leat'eq","Tokyo"
48,"Aya Nakamura","Copines"
49,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
50,"Sheck Wes","Mo Bamba"
