Shazam Top 50 Viña del Mar
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"BTS","Dynamite"
2,"Kali Uchis","telepatía"
3,"Agust D","Daechwita"
4,"Desconocido","La Canción Más Misteriosa De Internet"
5,"ElyOtto & Zedivan","Sugar Crash"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"The Weeknd","Blinding Lights"
8,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
9,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
10,"Harry Nach, El Futuro Fuera De Orbita & La Nevula23 Productor","Juju Juju"
11,"kostromin","Моя голова винтом"
12,"Olivia Rodrigo","drivers license"
13,"Sech","911"
14,"The Weeknd","Save Your Tears"
15,"Myke Towers & Juhn","Bandido"
16,"Boza","Hecha Pa' Mi"
17,"Bring Me The Horizon","Can You Feel My Heart"
18,"Gotye Feat. Kimbra","Somebody That I Used To Know"
19,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
20,"LA YOUNG","Como Estrellas"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"Daddy Yankee","PROBLEMA"
23,"Boney M.","Rasputin"
24,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
25,"Darkiell","Sigue Bailandome"
26,"Dirty Heads","Vacation"
27,"Leat'eq","Tokyo"
28,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
29,"Kaleo","Way Down We Go"
30,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
31,"Myke Towers","Explícito"
32,"Humbe","Sorpresa Sorpresa"
33,"Magic!","Rude"
34,"Duncan Laurence","Arcade"
35,"Rihanna","Where Have You Been"
36,"Dura DJ","Y Si el Pueblo Pide, Ponle"
37,"Migrantes & Alico","Si Me Tomo Una Cerveza"
38,"CNCO","Tan Enamorados"
39,"Luis Fonsi & Rauw Alejandro","Vacío"
40,"Doja Cat","Streets"
41,"Mother Mother","Hay Loft"
42,"Masked Wolf","Astronaut In The Ocean"
43,"Sam Smith","I Feel Love"
44,"David Guetta & Sia","Let's Love"
45,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
46,"Issam Alnajjar","Hadal Ahbek"
47,"Tesher","Jalebi Baby"
48,"Hippie Sabotage","Devil Eyes"
49,"Harry Styles","Watermelon Sugar"
50,"Rauw Alejandro & Anuel AA","Reloj"
