Shazam Discovery Colombia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
2,"kostromin","Моя голова винтом"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"Kiddtetoon & Diego Smith","Illuminati"
5,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
6,"Leah Nobel","Beginning Middle End (From The Netflix Film "To All The Boys: Always and Forever")"
7,"Nathan Evans","Wellerman (Sea Shanty)"
8,"DJ Guuga","Acompanha O Grave"
9,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
10,"Leyla Blue","What A Shame"
