Shazam Top 200 Colombia Chart
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Olivia Rodrigo","drivers license"
7,"Joaquin Guiller","Usted No Me Olvida"
8,"Carin Leon","Tú"
9,"kostromin","Моя голова винтом"
10,"Sech","911"
11,"ElyOtto & Zedivan","Sugar Crash"
12,"Boney M.","Rasputin"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
15,"Humbe","Sorpresa Sorpresa"
16,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
17,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
18,"Los Dos Carnales","El Envidioso"
19,"SZA & Justin Timberlake","The Other Side"
20,"The Weeknd","Save Your Tears"
21,"Feid & Sky Rompiendo","CHIMBITA"
22,"Masked Wolf","Astronaut In The Ocean"
23,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
24,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
25,"The Weeknd","Blinding Lights"
26,"Boza","Hecha Pa' Mi"
27,"Kaleo","Way Down We Go"
28,"Issam Alnajjar","Hadal Ahbek"
29,"LA YOUNG","Como Estrellas"
30,"Hippie Sabotage","Devil Eyes"
31,"Carlos Rivera & Maluma","100 Años"
32,"SoulChef Feat. Nieve","Write This Down"
33,"Christian Nodal","Aquí Abajo"
34,"KAROL G, Anuel AA & J. Balvin","LOCATION"
35,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
36,"Tanczaca Krowa","Dancing Polish Cow"
37,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
38,"Joss Favela & Jessi Uribe","El Alumno"
39,"Yeison Jimenez","Tu Amante"
40,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
41,"Los Inquietos","Buscaré Otro Amor"
42,"Silvestre Dangond","Las Locuras Mías"
43,"Masego & FKJ","Tadow"
44,"Gotye Feat. Kimbra","Somebody That I Used To Know"
45,"Kiddtetoon & Diego Smith","Illuminati"
46,"jusLo","BIG BANK"
47,"Camilo & El Alfa","BEBÉ"
48,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
49,"Banda Los Recoditos","Mi Último Deseo"
50,"Ryan Castro, Kevin Roldán & Andy Rivera Feat. Mackie & Ben3detti","Lejanía (Remix)"
51,"Kim Dracula","Paparazzi"
52,"Gwen Stefani","Hollaback Girl"
53,"Bad Bunny & Jhay Cortez","Dakiti"
54,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
55,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
56,"Queen","Another One Bites The Dust"
57,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
58,"Twenty One Pilots","Stressed Out"
59,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
60,"Grover Washington Jr.","Just The Two Of Us"
61,"Stefflon Don","16 Shots"
62,"Papu DJ","La Guerra"
63,"Alzate & Yeison Jimenez","Mi Venganza"
64,"Bruno Mars","Locked Out Of Heaven"
65,"Leat'eq","Tokyo"
66,"Marbelle","Adicta al Dolor"
67,"Dirty Heads","Vacation"
68,"Daft Punk Feat. Pharrell Williams","Get Lucky"
69,"Ryan Castro & BLESSED","Lejanía"
70,"Myke Towers","Explícito"
71,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
72,"Andy Rivera","Increíble"
73,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
74,"Nicky Jam & Myke Towers","Polvo"
75,"Jay Wheeler & DJ Nelson Feat. Myke Towers","La Curiosidad"
76,"KAROL G","BICHOTA"
77,"Daddy Yankee","PROBLEMA"
78,"Doja Cat","Streets"
79,"Grupo  Niche","Algo Que Se Quede"
80,"Los Inquietos","Ven A Mi"
81,"La Combinación Vallenata","A Pesar de Todo"
82,"Jorge Oñate & Álvaro López","Volví a Llorar"
83,"Paul Anka","Put Your Head On My Shoulder"
84,"Bring Me The Horizon","Can You Feel My Heart"
85,"Master KG Feat. Nomcebo Zikode","Jerusalema"
86,"Duncan Laurence","Arcade"
87,"Herencia De Timbiquí","Sabrás"
