Shazam Top 50 Barranquilla
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Jorge Oñate & Álvaro López","Volví a Llorar"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
6,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Jorge Oñate & Álvaro López","Una Aventura Mas"
10,"Sech","911"
11,"kostromin","Моя голова винтом"
12,"Boney M.","Rasputin"
13,"Waylan Zebas","Paño de Lágrimas"
14,"Rauw Alejandro & Anuel AA","Reloj"
15,"Zaider","El Lápiz"
16,"Humbe","Sorpresa Sorpresa"
17,"Issam Alnajjar","Hadal Ahbek"
18,"SZA & Justin Timberlake","The Other Side"
19,"Tanczaca Krowa","Dancing Polish Cow"
20,"Proyecto A","Renuncio"
21,"Dj Chawala & Waylam Zebas","La Página Ya Pasé"
22,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
23,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
24,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
25,"Masked Wolf","Astronaut In The Ocean"
26,"Boza","Hecha Pa' Mi"
27,"Desconocido","La Canción Más Misteriosa De Internet"
28,"Binomio De Oro De América","Realízame Mis Sueños"
29,"Jorge Oñate & Álvaro López","El Mas Fuerte"
30,"Olivia Rodrigo","drivers license"
31,"KAROL G, Anuel AA & J. Balvin","LOCATION"
32,"The Weeknd","Blinding Lights"
33,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
34,"Hippie Sabotage","Devil Eyes"
35,"Silvestre Dangond","Las Locuras Mías"
36,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
37,"Kiddtetoon & Diego Smith","Illuminati"
38,"Myke Towers","Explícito"
39,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
40,"Los Dos Carnales","El Envidioso"
41,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
42,"Feid & Sky Rompiendo","CHIMBITA"
43,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
44,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
45,"Elder Dayan Diaz & Rolando  Ochoa","Nací Solo (Live)"
46,"Jorge Oñate","Mujer Marchita"
47,"Juan Manuel Lebron","Ella Y Tu"
48,"Giblack","El Monigote"
49,"Maluma","Agua de Jamaica"
50,"Stefflon Don","16 Shots"
