Shazam Top 50 Bogotá
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
4,"Joaquin Guiller","Usted No Me Olvida"
5,"Desconocido","La Canción Más Misteriosa De Internet"
6,"Olivia Rodrigo","drivers license"
7,"Carin Leon","Tú"
8,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
9,"Sech","911"
10,"Boney M.","Rasputin"
11,"The Weeknd","Save Your Tears"
12,"Rauw Alejandro & Anuel AA","Reloj"
13,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
14,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
15,"kostromin","Моя голова винтом"
16,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
17,"Los Dos Carnales","El Envidioso"
18,"ElyOtto & Zedivan","Sugar Crash"
19,"Humbe","Sorpresa Sorpresa"
20,"Kaleo","Way Down We Go"
21,"Feid & Sky Rompiendo","CHIMBITA"
22,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
23,"Boza","Hecha Pa' Mi"
24,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
25,"Joss Favela & Jessi Uribe","El Alumno"
26,"The Weeknd","Blinding Lights"
27,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
28,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
29,"Hippie Sabotage","Devil Eyes"
30,"KAROL G, Anuel AA & J. Balvin","LOCATION"
31,"LA YOUNG","Como Estrellas"
32,"SZA & Justin Timberlake","The Other Side"
33,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
34,"Masked Wolf","Astronaut In The Ocean"
35,"Christian Nodal","Aquí Abajo"
36,"Carlos Rivera & Maluma","100 Años"
37,"SoulChef Feat. Nieve","Write This Down"
38,"Issam Alnajjar","Hadal Ahbek"
39,"Los Inquietos","Buscaré Otro Amor"
40,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
41,"Silvestre Dangond","Las Locuras Mías"
42,"Camilo & El Alfa","BEBÉ"
43,"Alzate & Yeison Jimenez","Mi Venganza"
44,"Surf Mesa Feat. Emilee","ily (i love you baby)"
45,"Bad Bunny & Jhay Cortez","Dakiti"
46,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
47,"Stefflon Don","16 Shots"
48,"Yeison Jimenez","Tu Amante"
49,"Tanczaca Krowa","Dancing Polish Cow"
50,"SG Lewis & Rhye","Time"
