Shazam Top 50 Bucaramanga
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Boney M.","Rasputin"
9,"LA YOUNG","Como Estrellas"
10,"SZA & Justin Timberlake","The Other Side"
11,"kostromin","Моя голова винтом"
12,"Humbe","Sorpresa Sorpresa"
13,"Olivia Rodrigo","drivers license"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Kaleo","Way Down We Go"
16,"The Weeknd","Blinding Lights"
17,"Tanczaca Krowa","Dancing Polish Cow"
18,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
19,"Issam Alnajjar","Hadal Ahbek"
20,"Sech","911"
21,"jusLo","BIG BANK"
22,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
23,"Los Dos Carnales","El Envidioso"
24,"Carin Leon","Tú"
25,"Rauw Alejandro & Anuel AA","Reloj"
26,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
27,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
28,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
29,"Grover Washington Jr.","Just The Two Of Us"
30,"Gwen Stefani","Hollaback Girl"
31,"Gotye Feat. Kimbra","Somebody That I Used To Know"
32,"SoulChef Feat. Nieve","Write This Down"
33,"Duncan Laurence","Arcade"
34,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
35,"KAROL G, Anuel AA & J. Balvin","LOCATION"
36,"Bring Me The Horizon","Can You Feel My Heart"
37,"Migos Feat. Young Thug","YRN"
38,"Capital Cities","Safe And Sound"
39,"Hippie Sabotage","Devil Eyes"
40,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
41,"GIVĒON","HEARTBREAK ANNIVERSARY"
42,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
43,"Bad Bunny & Jhay Cortez","Dakiti"
44,"Kim Dracula","Paparazzi"
45,"Childish Gambino","Redbone"
46,"The Weeknd","Save Your Tears"
47,"Christian Nodal","Aquí Abajo"
48,"Joss Favela & Jessi Uribe","El Alumno"
49,"Bruno Mars","Locked Out Of Heaven"
50,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
