Shazam Top 50 Cali
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Olivia Rodrigo","drivers license"
6,"Carin Leon","Tú"
7,"ElyOtto & Zedivan","Sugar Crash"
8,"Carlos Rivera & Maluma","100 Años"
9,"Rauw Alejandro & Anuel AA","Reloj"
10,"kostromin","Моя голова винтом"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"Los Dos Carnales","El Envidioso"
13,"Christian Nodal","Aquí Abajo"
14,"Sech","911"
15,"The Weeknd","Blinding Lights"
16,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
17,"Marbelle","Adicta al Dolor"
18,"The Weeknd","Save Your Tears"
19,"Feid & Sky Rompiendo","CHIMBITA"
20,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
21,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
22,"Boza","Hecha Pa' Mi"
23,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
24,"Boney M.","Rasputin"
25,"Humbe","Sorpresa Sorpresa"
26,"Yeison Jimenez","Tu Amante"
27,"Banda Los Recoditos","Mi Último Deseo"
28,"Masked Wolf","Astronaut In The Ocean"
29,"SZA & Justin Timberlake","The Other Side"
30,"Joss Favela & Jessi Uribe","El Alumno"
31,"Los Inquietos","Buscaré Otro Amor"
32,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
33,"Joaquin Guiller","Usted No Me Olvida"
34,"Masego & FKJ","Tadow"
35,"Camilo & El Alfa","BEBÉ"
36,"Grupo  Niche","Algo Que Se Quede"
37,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
38,"Grover Washington Jr.","Just The Two Of Us"
39,"Silvestre Dangond","Las Locuras Mías"
40,"KAROL G, Anuel AA & J. Balvin","LOCATION"
41,"Gotye Feat. Kimbra","Somebody That I Used To Know"
42,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
43,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
44,"Kaleo","Way Down We Go"
45,"Doja Cat","Streets"
46,"Hippie Sabotage","Devil Eyes"
47,"Alzate & Yeison Jimenez","Mi Venganza"
48,"Kim Dracula","Paparazzi"
49,"Issam Alnajjar","Hadal Ahbek"
50,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
