Shazam Top 50 Cartagena
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Proyecto A","Renuncio"
2,"Kali Uchis","telepatía"
3,"Myke Towers & Juhn","Bandido"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"Sech","911"
6,"Olamide Feat. Omah Lay","Infinity"
7,"Jorge Oñate & Álvaro López","Volví a Llorar"
8,"Humbe","Sorpresa Sorpresa"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"SZA & Justin Timberlake","The Other Side"
11,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
12,"Stefflon Don","16 Shots"
13,"kostromin","Моя голова винтом"
14,"Jorge Oñate & Álvaro López","Una Aventura Mas"
15,"Zaider","El Lápiz"
16,"Masked Wolf","Astronaut In The Ocean"
17,"Rauw Alejandro & Anuel AA","Reloj"
18,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
19,"Kiddtetoon & Diego Smith","Illuminati"
20,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
21,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
22,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
23,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
24,"Desconocido","La Canción Más Misteriosa De Internet"
25,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
26,"Binomio De Oro De América","Realízame Mis Sueños"
27,"Javier Vásquez","Necesito Llorar"
28,"Tanczaca Krowa","Dancing Polish Cow"
29,"Camilo & El Alfa","BEBÉ"
30,"Adolescentes Orquesta","Virgen"
31,"Waylan Zebas","Paño de Lágrimas"
32,"Issam Alnajjar","Hadal Ahbek"
33,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
34,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
35,"KAROL G, Anuel AA & J. Balvin","LOCATION"
36,"jusLo","BIG BANK"
37,"Tito Gomez","Quisiera"
38,"Zum Feat. Shenseea","Rebel"
39,"Dj Chawala & Waylam Zebas","La Página Ya Pasé"
40,"The Weeknd","Blinding Lights"
41,"Boza","Hecha Pa' Mi"
42,"Levixone","Chikibombe"
43,"Elder Dayan Diaz & Rolando  Ochoa","Nací Solo (Live)"
44,"Hippie Sabotage","Devil Eyes"
45,"Olivia Rodrigo","drivers license"
46,"DJ Kraig Feat. Mr Vegas & DJ Cut Killer & T.O.K & Damian Marley & Kafu Banton","Mega Mix Dance Hall (Vol. 2)"
47,"Grupo  Niche","Algo Que Se Quede"
48,"Feid & Sky Rompiendo","CHIMBITA"
49,"Young T & Bugsey Feat. Headie One","Don't Rush (Ans & Jordan Remix)"
50,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
