Shazam Top 50 Cúcuta
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"SZA & Justin Timberlake","The Other Side"
5,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
6,"Olivia Rodrigo","drivers license"
7,"Myke Towers & Juhn","Bandido"
8,"Boney M.","Rasputin"
9,"Sech","911"
10,"kostromin","Моя голова винтом"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"Carin Leon","Tú"
13,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
14,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
15,"Los Dos Carnales","El Envidioso"
16,"Gwen Stefani","Hollaback Girl"
17,"Masked Wolf","Astronaut In The Ocean"
18,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
19,"Issam Alnajjar","Hadal Ahbek"
20,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
21,"jusLo","BIG BANK"
22,"Kiddtetoon & Diego Smith","Illuminati"
23,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
24,"Humbe","Sorpresa Sorpresa"
25,"Rauw Alejandro & Anuel AA","Reloj"
26,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
27,"Bruno Mars","Locked Out Of Heaven"
28,"Grover Washington Jr.","Just The Two Of Us"
29,"Boza","Hecha Pa' Mi"
30,"Queen","Another One Bites The Dust"
31,"Masego & FKJ","Tadow"
32,"Leat'eq","Tokyo"
33,"The Weeknd","Blinding Lights"
34,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
35,"Christian Nodal","Aquí Abajo"
36,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
37,"Pháo","2 Phút Hơn [KAIZ Remix]"
38,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
39,"LA YOUNG","Como Estrellas"
40,"Gotye Feat. Kimbra","Somebody That I Used To Know"
41,"Duncan Laurence","Arcade"
42,"The Weeknd","Save Your Tears"
43,"Tanczaca Krowa","Dancing Polish Cow"
44,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
45,"Sergio Valentino","Drive Forever"
46,"Myke Towers","Explícito"
47,"Childish Gambino","Redbone"
48,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
49,"KAROL G, Anuel AA & J. Balvin","LOCATION"
50,"Jorge Oñate & Álvaro López","Volví a Llorar"
