Shazam Top 50 Ibagué
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"ElyOtto & Zedivan","Sugar Crash"
3,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
4,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
5,"kostromin","Моя голова винтом"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"Carin Leon","Tú"
8,"Boney M.","Rasputin"
9,"Masked Wolf","Astronaut In The Ocean"
10,"SZA & Justin Timberlake","The Other Side"
11,"Sech","911"
12,"Twenty One Pilots","Stressed Out"
13,"Kaleo","Way Down We Go"
14,"Gwen Stefani","Hollaback Girl"
15,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
16,"Rauw Alejandro & Anuel AA","Reloj"
17,"Humbe","Sorpresa Sorpresa"
18,"Los Dos Carnales","El Envidioso"
19,"Myke Towers & Juhn","Bandido"
20,"jusLo","BIG BANK"
21,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
22,"Joss Favela & Jessi Uribe","El Alumno"
23,"SoulChef Feat. Nieve","Write This Down"
24,"Masego & FKJ","Tadow"
25,"Tanczaca Krowa","Dancing Polish Cow"
26,"Issam Alnajjar","Hadal Ahbek"
27,"The Weeknd","Blinding Lights"
28,"LA YOUNG","Como Estrellas"
29,"Kim Dracula","Paparazzi"
30,"Queen","Another One Bites The Dust"
31,"Leyla Blue","What A Shame"
32,"Stefflon Don","16 Shots"
33,"The Weeknd","Save Your Tears"
34,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
35,"KAROL G, Anuel AA & J. Balvin","LOCATION"
36,"Papu DJ","La Guerra"
37,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
38,"Joaquin Guiller","Usted No Me Olvida"
39,"Olivia Rodrigo","drivers license"
40,"Nathan Evans","Wellerman (Sea Shanty)"
41,"Pascal Letoublon","Friendships"
42,"Doja Cat","Streets"
43,"Boza","Hecha Pa' Mi"
44,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
45,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
46,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
47,"Bruno Mars","Locked Out Of Heaven"
48,"Capone","Streets Favorite"
49,"Leat'eq","Tokyo"
50,"Darkiell","Sigue Bailandome"
