Shazam Top 50 Leticia
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
2,"Lenin Ramírez & Grupo Firme","Yo Ya No Vuelvo Contigo (En Vivo)"
3,"Joaquin Guiller","Usted No Me Olvida"
4,"Ozuna","Caramelo"
5,"Boza","Hecha Pa' Mi"
6,"Christian Nodal","Nace Un Borracho"
7,"Ava Max","My Head & My Heart"
8,"Joss Favela & Jessi Uribe","El Alumno"
9,"Young T & Bugsey Feat. Headie One","Don't Rush (Ans & Jordan Remix)"
10,"Ini Kamoze","Here Comes The Hotstepper"
11,"Carlos Vives","La Celosa"
12,"Alejandro Sanz","Aquello Que Me Diste"
13,"Calle 13 Feat. Julian Assange, Tom Morello & Kamilya Jubran","Multi-Viral"
14,"Frankie Smith","Double Dutch Bus"
15,"Justin Bieber Feat. Chance The Rapper","Confident"
16,"Los Cantantes","No Hay Pesos"
17,"Santana","Black Magic Woman"
18,"Rey Ruiz","Estamos Solos"
19,"Adolescentes","Anhelos"
20,"Maná","Clavado En Un Bar"
21,"Clarence Carter","Snatching It Back"
22,"Oro Solido","Abusadora"
23,"Wesley Safadão & Banda Garota Safada","Sou Ciumento Mesmo"
24,"Quarteto Jobim Morelenbaum","Só Tinha Der Ser Com Você"
25,"Joe Cuba Sextet","Y Signe"
26,"The Latin Brothers","Dime Que Pasó"
27,"Audioslave","Show Me How To Live"
28,"Evanescence","Bring Me To Life"
29,"Matchbox Twenty","Disease"
30,"Joe Budden","Pump It Up"
31,"Malanga","Ebrava"
32,"Ed Sheeran","Photograph"
33,"Luis Alberto Posada","El Precio De Tu Error"
34,"Maria Gadú & 5 a Seco","Em Paz"
35,"Avicii","The Nights"
36,"Rancid","Time Bomb"
37,"Crystal Waters","Gypsy Woman"
38,"Smiler","Losing My Religion"
39,"Creed","Higher"
40,"Jhon Alex Castaño","Amigos Con Derechos"
41,"John Lee Hooker & The Avener","It Serves You Right To Suffer (The Avener Rework)"
42,"The Weeknd","Earned It (Fifty Shades Of Grey;From The "Fifty Shades Of Grey" Soundtrack)"
43,"Britney Spears","...Baby One More Time"
44,"Boney M.","Rasputin"
45,"Wisin And Carlos Vives Feat. Daddy Yankee","Nota De Amor"
46,"UB40","Groovin' (Out On Life)"
47,"UB40","Kingston Town"
48,"Backstreet Boys","Everybody (Backstreet's Back)"
49,"Petit Biscuit","Sunset Lover"
50,"Santana Feat. Rob Thomas","Smooth"
