Shazam Top 50 Manizales
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Desconocido","La Canción Más Misteriosa De Internet"
4,"SZA & Justin Timberlake","The Other Side"
5,"Myke Towers & Juhn","Bandido"
6,"Carin Leon","Tú"
7,"Humbe","Sorpresa Sorpresa"
8,"SoulChef Feat. Nieve","Write This Down"
9,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
10,"Yeison Jimenez","Tu Amante"
11,"Boney M.","Rasputin"
12,"Masego & FKJ","Tadow"
13,"Feid & Sky Rompiendo","CHIMBITA"
14,"Hippie Sabotage","Devil Eyes"
15,"ElyOtto & Zedivan","Sugar Crash"
16,"Kaleo","Way Down We Go"
17,"Masked Wolf","Astronaut In The Ocean"
18,"Sech","911"
19,"LA YOUNG","Como Estrellas"
20,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
21,"Olivia Rodrigo","drivers license"
22,"Gotye Feat. Kimbra","Somebody That I Used To Know"
23,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
24,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
25,"Boza","Hecha Pa' Mi"
26,"Issam Alnajjar","Hadal Ahbek"
27,"Silvestre Dangond","Las Locuras Mías"
28,"Carlos Rivera & Maluma","100 Años"
29,"Banda Los Recoditos","Mi Último Deseo"
30,"Joaquin Guiller","Usted No Me Olvida"
31,"Joss Favela & Jessi Uribe","El Alumno"
32,"Bruno Mars","Locked Out Of Heaven"
33,"Gwen Stefani","Hollaback Girl"
34,"The Weeknd","Save Your Tears"
35,"Tiësto","The Business"
36,"KAROL G, Anuel AA & J. Balvin","LOCATION"
37,"Ryan Castro, Kevin Roldán & Andy Rivera Feat. Mackie & Ben3detti","Lejanía (Remix)"
38,"24kGoldn Feat. iann dior","Mood"
39,"Rauw Alejandro & Anuel AA","Reloj"
40,"kostromin","Моя голова винтом"
41,"Adso Alejandro","Como Si Nada"
42,"Christian Nodal","Aquí Abajo"
43,"Kim Dracula","Paparazzi"
44,"Andy Rivera","Increíble"
45,"Grover Washington Jr.","Just The Two Of Us"
46,"Los Inquietos","Ven A Mi"
47,"Mac Miller","Stay"
48,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
49,"Jessi Uribe","Una Oportunidad"
50,"jusLo","BIG BANK"
