Shazam Top 50 Medellín
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
5,"Rauw Alejandro & Anuel AA","Reloj"
6,"Feid & Sky Rompiendo","CHIMBITA"
7,"Desconocido","La Canción Más Misteriosa De Internet"
8,"Sech","911"
9,"Carin Leon","Tú"
10,"kostromin","Моя голова винтом"
11,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
12,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
13,"Boney M.","Rasputin"
14,"Carlos Rivera & Maluma","100 Años"
15,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
16,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
17,"ElyOtto & Zedivan","Sugar Crash"
18,"Masego & FKJ","Tadow"
19,"Masked Wolf","Astronaut In The Ocean"
20,"Los Dos Carnales","El Envidioso"
21,"Yeison Jimenez","Tu Amante"
22,"The Weeknd","Blinding Lights"
23,"Ryan Castro, Kevin Roldán & Andy Rivera Feat. Mackie & Ben3detti","Lejanía (Remix)"
24,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
25,"SoulChef Feat. Nieve","Write This Down"
26,"Banda Los Recoditos","Mi Último Deseo"
27,"Hippie Sabotage","Devil Eyes"
28,"Christian Nodal","Aquí Abajo"
29,"Olivia Rodrigo","drivers license"
30,"Ryan Castro & BLESSED","Lejanía"
31,"Boza","Hecha Pa' Mi"
32,"SZA & Justin Timberlake","The Other Side"
33,"Pitbull Feat. Ne-Yo & Afrojack & Nayer","Give Me Everything"
34,"Joaquin Guiller","Usted No Me Olvida"
35,"The Weeknd","Save Your Tears"
36,"KAROL G, Anuel AA & J. Balvin","LOCATION"
37,"Gotye Feat. Kimbra","Somebody That I Used To Know"
38,"Kaleo","Way Down We Go"
39,"Joss Favela & Jessi Uribe","El Alumno"
40,"Exotic","Calling"
41,"Camilo & El Alfa","BEBÉ"
42,"Manuel Turizo, Rauw Alejandro & Myke Towers","La Nota"
43,"Los Inquietos","Ven A Mi"
44,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
45,"Tanczaca Krowa","Dancing Polish Cow"
46,"Silvestre Dangond","Las Locuras Mías"
47,"Humbe","Sorpresa Sorpresa"
48,"LA YOUNG","Como Estrellas"
49,"Los Inquietos","Buscaré Otro Amor"
50,"Marbelle","Adicta al Dolor"
