Shazam Top 50 Pasto
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Desconocido","La Canción Más Misteriosa De Internet"
3,"Joaquin Guiller","Usted No Me Olvida"
4,"kostromin","Моя голова винтом"
5,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
6,"LA YOUNG","Como Estrellas"
7,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
8,"Boney M.","Rasputin"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Humbe","Sorpresa Sorpresa"
11,"SZA & Justin Timberlake","The Other Side"
12,"Olivia Rodrigo","drivers license"
13,"The Weeknd","Blinding Lights"
14,"Myke Towers & Juhn","Bandido"
15,"Carin Leon","Tú"
16,"Hippie Sabotage","Devil Eyes"
17,"Kiddtetoon & Diego Smith","Illuminati"
18,"Issam Alnajjar","Hadal Ahbek"
19,"Gwen Stefani","Hollaback Girl"
20,"Rauw Alejandro & Anuel AA","Reloj"
21,"Sech","911"
22,"Leat'eq","Tokyo"
23,"Gotye Feat. Kimbra","Somebody That I Used To Know"
24,"Ryan Castro, Kevin Roldán & Andy Rivera Feat. Mackie & Ben3detti","Lejanía (Remix)"
25,"SoulChef Feat. Nieve","Write This Down"
26,"Queen","Another One Bites The Dust"
27,"Papu DJ","La Guerra"
28,"Tanczaca Krowa","Dancing Polish Cow"
29,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
30,"Los Inquietos","Buscaré Otro Amor"
31,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
32,"Daft Punk Feat. Pharrell Williams","Get Lucky"
33,"Grover Washington Jr.","Just The Two Of Us"
34,"The Weeknd","Save Your Tears"
35,"Bring Me The Horizon","Can You Feel My Heart"
36,"Masego & FKJ","Tadow"
37,"Kim Dracula","Paparazzi"
38,"Coldplay","Hymn For The Weekend"
39,"Masked Wolf","Astronaut In The Ocean"
40,"Darell & Brytiago","Velitas"
41,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
42,"Sergio Valentino","Drive Forever"
43,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
44,"Feid & Sky Rompiendo","CHIMBITA"
45,"Kevin Roldan, De La Ghetto & Mackie Feat. Lyanno, Miky Woodz & KEVVO","Manantial (Remix)"
46,"Twenty One Pilots","Stressed Out"
47,"Rob $Tone Feat. J. Davi$ & Spooks","Chill Bill"
48,"Childish Gambino","Redbone"
49,"Sia","Snowman"
50,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
