Shazam Top 50 Pereira
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
4,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
5,"kostromin","Моя голова винтом"
6,"Desconocido","La Canción Más Misteriosa De Internet"
7,"Sech","911"
8,"Carin Leon","Tú"
9,"ElyOtto & Zedivan","Sugar Crash"
10,"Boney M.","Rasputin"
11,"Masego & FKJ","Tadow"
12,"Masked Wolf","Astronaut In The Ocean"
13,"Rauw Alejandro & Anuel AA","Reloj"
14,"Yeison Jimenez","Tu Amante"
15,"Joss Favela & Jessi Uribe","El Alumno"
16,"Hippie Sabotage","Devil Eyes"
17,"Feid & Sky Rompiendo","CHIMBITA"
18,"Humbe","Sorpresa Sorpresa"
19,"Ryan Castro, Kevin Roldán & Andy Rivera Feat. Mackie & Ben3detti","Lejanía (Remix)"
20,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
21,"Christian Nodal","Aquí Abajo"
22,"Carlos Rivera & Maluma","100 Años"
23,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
24,"Olivia Rodrigo","drivers license"
25,"Gotye Feat. Kimbra","Somebody That I Used To Know"
26,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
27,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
28,"The Weeknd","Blinding Lights"
29,"The Weeknd","Save Your Tears"
30,"SZA & Justin Timberlake","The Other Side"
31,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
32,"Silvestre Dangond","Las Locuras Mías"
33,"Banda Los Recoditos","Mi Último Deseo"
34,"Los Dos Carnales","El Envidioso"
35,"Kaleo","Way Down We Go"
36,"Issam Alnajjar","Hadal Ahbek"
37,"Papu DJ","La Guerra"
38,"Joaquin Guiller","Usted No Me Olvida"
39,"Boza","Hecha Pa' Mi"
40,"Herencia De Timbiquí","Sabrás"
41,"LA YOUNG","Como Estrellas"
42,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
43,"KAROL G, Anuel AA & J. Balvin","LOCATION"
44,"Grover Washington Jr.","Just The Two Of Us"
45,"Rob $Tone Feat. J. Davi$ & Spooks","Chill Bill"
46,"La Combinación Vallenata","A Pesar de Todo"
47,"Migos Feat. Young Thug","YRN"
48,"Kiddtetoon & Diego Smith","Illuminati"
49,"Tanczaca Krowa","Dancing Polish Cow"
50,"Ryan Castro & BLESSED","Lejanía"
