Shazam Top 50 Puerto Carreño
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Adele","Set Fire To The Rain (DJ Igor Pradaa Remix)"
2,"French Affair","My Heart Goes Boom (Ladidada)"
3,"Timbaland Feat. OneRepublic","Apologize"
4,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
5,"Marcelo D2 & Claudia","Desabafo / Deixa Eu Dizer"
6,"M83","Midnight City"
7,"Rauw Alejandro & Mr. Naisgai","2/Catorce"
8,"Puff Daddy Feat. Faith Evans & 112","I'll Be Missing You"
9,"Alejandro Sanz","Corazon Partio"
10,"Me & My","Dub-I-Dub"
11,"Michelle Branch","All You Wanted"
12,"La Bouche","Be My Lover"
13,"DMX","Party Up"
14,"Joe Arroyo","Mary"
15,"2 Unlimited","No Limit"
16,"Sandra","Maria Magdalena"
17,"A Touch Of Class","Around The World (La La La La La;Radio Version)"
18,"Starship","Sara"
19,"Gina G","Just A Little Bit (Motiv8 Radio Edit)"
20,"Johnny Rivera","Cuándo Parará La Lluvia"
21,"Jack Jones","I've Got Your Number"
22,"Los Cantantes","No Hay Pesos"
23,"Cheo Hurtado","Pajarillo"
24,"The Flirts","Helpless (You Took My Love)"
25,"John Martin","Anywhere For You"
26,"Culture Beat","Got To Get It (Original Radio Edit)"
27,"Los Titanes","Sobredosis"
28,"Kabah","La Calle De Las Sirenas"
29,"Juan Luis Guerra","Burbujas De Amor"
30,"Maná","En El Muelle De San Blas"
31,"Los Prisioneros","El Baile De Los Que Sobran"
32,"Ricardo Montaner","Tan Enamorados"
33,"Adolescentes Orquesta","Persona Ideal"
34,"Son By 4","A Puro Dolor (Balada)"
35,"Oscar D'León","Lloraras"
36,"Oro Solido","La Tanga"
37,"Boom The Bass","La Biografía"
38,"Monica Naranjo","Empiezo A Recordarte"
39,"John Lee Hooker","Highway 13"
40,"Umberto Tozzi","Ti Amo"
41,"Fruko Y Sus Tesos","Tania"
42,"DJ Shadow","Blood On The Motorway"
43,"DJ Miko","What's Up"
44,"Paul Oakenfold & Shifty Shellshock","Starry Eyed Surprise"
45,"Nelly Feat. Kelly Rowland","Dilemma"
46,"Oasis","Stop Crying Your Heart Out"
47,"La Bouche","Tonight Is The Night (Le Click-Dance Mix)"
48,"Coldplay","The Scientist"
49,"Santana Feat. Michelle Branch","The Game Of Love (Main/Radio Mix)"
50,"WWE & Jim Johnston","Here Comes The Money (Shane Mcmahon)"
