Shazam Top 50 San Andrés
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Spice Diana","Kwata Wano"
2,"Levixone","Chikibombe"
3,"Bombo Clat Dj","Humble"
4,"Dexta Daps","Call Me If"
5,"Sech","911"
6,"Rey Aza","Quedé Flechao"
7,"Stefflon Don","16 Shots"
8,"Allan Toniks","Sikuleka"
9,"Ykee Benda","Superman"
10,"Myke Towers & Juhn","Bandido"
11,"Zum Feat. Shenseea","Rebel"
12,"Zaider","El Lápiz"
13,"Dj Chawala & Waylam Zebas","La Página Ya Pasé"
14,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
15,"Proyecto A","Renuncio"
16,"Daddy Andre","Ku Kyokya"
17,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
18,"Mc CaR & Rey De Rocha","El Caballero"
19,"Rudeboy","Woman"
20,"Boza","Hecha Pa' Mi"
21,"Shenseea, Tarrus Riley & Rvssian","Lighter"
22,"Kissinger","El Carro"
23,"Javier Vásquez","Necesito Llorar"
24,"Zinnia","Overload"
25,"Eddy Kenzo","Tweyagale"
26,"Dj Chawala & Karry Flow","Corazón de Papel"
27,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
28,"Waylan Sebas & Rey De Rocha","Te Amaré Hasta el Final"
29,"Binomio De Oro De América","No Te Vayas"
30,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
31,"Daddy Andre","Tugende Mu Church (Live)"
32,"KAROL G","BICHOTA"
33,"Rauw Alejandro & Anuel AA","Reloj"
34,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
35,"Allan Toniks","Romance"
36,"Kali-D Feat. Chris Y","Ride My Lane"
37,"Master KG Feat. Nomcebo Zikode","Jerusalema"
38,"Lady Saw","Ragga Tonseh"
39,"Sheebah","Nakyuka"
40,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
41,"Timaya","Balance"
42,"Rudeboy","Reason With Me"
43,"Busy Signal","Perfect Spot"
44,"La Combinación Vallenata","A Pesar de Todo"
45,"Davido & Popcaan","Risky"
46,"Young T & Bugsey Feat. Headie One","Don't Rush"
47,"Daddy Andre Feat. Pallaso","Omaze"
48,"Daddy Andre & Angella Katatumba","Tonelabila"
49,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
50,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
