Shazam Top 50 San José del Guaviare
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Gotye Feat. Kimbra","Somebody That I Used To Know"
2,"Humbe","Sorpresa Sorpresa"
3,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
4,"Myke Towers & Juhn","Bandido"
5,"Kina Feat. Adriana Proenza","Can We Kiss Forever?"
6,"Queen","Another One Bites The Dust"
7,"The Living Tombstone Feat. BlackGryph0n & LittleJayneyCakes","No Mercy"
8,"Sub Urban","Cradles"
9,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
10,"Dillom Feat. Bizarrap","Dillom: Bzrp Music Sessions, Vol. 9"
11,"Desconocido","La Canción Más Misteriosa De Internet"
12,"Sonyk El Dragón","Mi Vida Eres Tu"
13,"LA YOUNG","Como Estrellas"
14,"Joaquin Guiller","Usted No Me Olvida"
15,"Carin Leon","Tú"
16,"Boza","Hecha Pa' Mi"
17,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
18,"Silvestre Dangond","Las Locuras Mías"
19,"Olivia Rodrigo","drivers license"
20,"SoulChef Feat. Nieve","Write This Down"
21,"Hozier","Take Me To Church"
22,"Grupo Niche","Gotas De Lluvia"
23,"Jorge Oñate & Álvaro López","Volví a Llorar"
24,"Big Yamo Feat. Natya","Tocarte Toa"
25,"Los Enanitos Verdes","Lamento Boliviano"
26,"Cuco Valoy","Si Supieras"
27,"Groove Bomb","Safe & Sound (Extended Mix)"
28,"Depeche Mode","Enjoy The Silence"
29,"The Cranberries","Salvation"
30,"Hippie Sabotage","Devil Eyes"
31,"Hector Manito Bonilla","Canguil Con Salsa"
32,"Twenty One Pilots","Heathens"
33,"Frank Ocean","Chanel"
34,"Stevie Wonder","I Just Called To Say I Love You"
35,"Masego & FKJ","Tadow"
36,"MGMT","Little Dark Age"
37,"Gwen Stefani","Hollaback Girl"
38,"Reik Feat. Ozuna & Wisin","Me Niego"
39,"Leat'eq","Tokyo"
40,"DJ Prospect","Trap Journal Spanish, Pt. 2"
41,"League of Legends, The Glitch Mob & Mako Feat. The Word Alive","RISE"
42,"Só Pra Contrariar","Cuando Acaba El Placer (Depois Do Prazer)"
43,"Kardinal Offishall Feat. Akon","Dangerous"
44,"Binomio De Oro","Era Tan Fácil Olvidarte"
45,"Dine Doneff","Division Within"
46,"Gena Desounza & Youngohm","คึกคะนอง"
47,"Julio Jaramillo","Odiame / Rondando Tu Esquina / Nuestro Juramento"
48,"Shigeru Umebayashi","Beauty Song (Jia Ren Qu)"
49,"Rauf & Faik","Это Ли Счастье?"
50,"La Combinación Vallenata","A Pesar de Todo"
