Shazam Top 50 Santa Marta
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Myke Towers & Juhn","Bandido"
3,"ElyOtto & Zedivan","Sugar Crash"
4,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
5,"kostromin","Моя голова винтом"
6,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
7,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
8,"Jorge Oñate & Álvaro López","Volví a Llorar"
9,"Humbe","Sorpresa Sorpresa"
10,"Rauw Alejandro & Anuel AA","Reloj"
11,"Sech","911"
12,"Tanczaca Krowa","Dancing Polish Cow"
13,"Masked Wolf","Astronaut In The Ocean"
14,"Proyecto A","Renuncio"
15,"Kiddtetoon & Diego Smith","Illuminati"
16,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
17,"Olivia Rodrigo","drivers license"
18,"Jorge Oñate & Álvaro López","Una Aventura Mas"
19,"LA YOUNG","Como Estrellas"
20,"The Weeknd","Save Your Tears"
21,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
22,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
23,"Kaleo","Way Down We Go"
24,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
25,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
26,"The Weeknd","Blinding Lights"
27,"Adele","Set Fire To The Rain (Thomas Gold Remix)"
28,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
29,"KAROL G","BICHOTA"
30,"jusLo","BIG BANK"
31,"Eduardo Luzquiños & EZRA","Yrn (Remix)"
32,"Elder Dayan Diaz & Rolando  Ochoa","Así Fue (Live)"
33,"KAROL G, Anuel AA & J. Balvin","LOCATION"
34,"Boney M.","Rasputin"
35,"Masego & FKJ","Tadow"
36,"Leat'eq","Tokyo"
37,"Ozuna, Doja Cat & Sia","Del Mar"
38,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
39,"Kim Dracula","Paparazzi"
40,"DJ Guuga","Acompanha O Grave"
41,"24kGoldn Feat. iann dior","Mood"
42,"Waylan Zebas","Paño de Lágrimas"
43,"Dj Chawala & Waylam Zebas","La Página Ya Pasé"
44,"Bruno Mars","Locked Out Of Heaven"
45,"Gwen Stefani","Hollaback Girl"
46,"Wisin, Yandel & Farruko Feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers","3G (Remix)"
47,"GIVĒON","HEARTBREAK ANNIVERSARY"
48,"SZA & Justin Timberlake","The Other Side"
49,"Los Dos Carnales","El Envidioso"
50,"Boza","Hecha Pa' Mi"
