Shazam Top 50 Valledupar
"Friday, 5 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Kali Uchis","telepatía"
2,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
3,"Espinoza Paz","Soltero Feliz (Versión Tuba)"
4,"ElyOtto & Zedivan","Sugar Crash"
5,"Myke Towers & Juhn","Bandido"
6,"Sech","911"
7,"Humbe","Sorpresa Sorpresa"
8,"Olivia Rodrigo","drivers license"
9,"kostromin","Моя голова винтом"
10,"Kiddtetoon & Diego Smith","Illuminati"
11,"Christian Nodal","Aquí Abajo"
12,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
13,"Los Legendarios, Wisin & Jhay Cortez","Fiel"
14,"Jorge Oñate & Álvaro López","Volví a Llorar"
15,"SZA & Justin Timberlake","The Other Side"
16,"El Fantasma & Los Dos Carnales","Cabrón y Vago"
17,"Hippie Sabotage","Devil Eyes"
18,"Tanczaca Krowa","Dancing Polish Cow"
19,"Issam Alnajjar","Hadal Ahbek"
20,"Boney M.","Rasputin"
21,"Paul Anka","Put Your Head On My Shoulder"
22,"Papu DJ","La Guerra"
23,"Desconocido","La Canción Más Misteriosa De Internet"
24,"Akim, Boza & Dalex Feat. Beéle","Otra Baby"
25,"Myke Towers","Explícito"
26,"jusLo","BIG BANK"
27,"KAROL G, Anuel AA & J. Balvin","LOCATION"
28,"Álvaro López & Jorge Oñate","No Comprendi Tu Amor"
29,"Boza","Hecha Pa' Mi"
30,"Gym Class Heroes Feat. Adam Levine","Stereo Hearts"
31,"CNCO","Dejaría Todo"
32,"Silvestre Dangond","Con Agua Fría"
33,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
34,"Kim Dracula","Paparazzi"
35,"Sia","Snowman"
36,"Waylan Zebas","Paño de Lágrimas"
37,"Jorge Oñate & Álvaro López","Triste Y Confundido"
38,"Bring Me The Horizon","Can You Feel My Heart"
39,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
40,"Rauw Alejandro & Anuel AA","Reloj"
41,"The Neighbourhood","Sweater Weather"
42,"Migos Feat. Young Thug","YRN"
43,"Masked Wolf","Astronaut In The Ocean"
44,"Master KG Feat. Nomcebo Zikode","Jerusalema"
45,"Los Dos Carnales","El Envidioso"
46,"Luigy Boy & La Florezta","Alo Michael (rico rico rico rico)"
47,"Camilo & El Alfa","BEBÉ"
48,"Yeison Jimenez","Tu Amante"
49,"Zaider","El Lápiz"
50,"Jorge Oñate","Te Dedico Mis Triunfos"
