Shazam Top 200 Costa Rica Chart
"Sunday, 7 March 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Carlos Rivera & Maluma","100 Años"
2,"Myke Towers & Juhn","Bandido"
3,"Kali Uchis","telepatía"
4,"Olivia Rodrigo","drivers license"
5,"Christian Nodal & Ángela Aguilar","Dime Cómo Quieres"
6,"Kevin Roldan, Bryant Myers & Lyanno","Hasta Abajo"
7,"Rochy RD, Myke Towers & NICKI NICOLE","Ella No Es Tuya (Remix)"
8,"Milly, Farruko & Nio Garcia Feat. Jay Wheeler & Amenazzy","No Te Enamores (Remix)"
9,"Lady Saw","Ragga Tonseh"
10,"Desconocido","La Canción Más Misteriosa De Internet"
11,"Issam Alnajjar","Hadal Ahbek"
12,"Camilo & El Alfa","BEBÉ"
13,"Lyanno, Rauw Alejandro & Lenny Tavarez Feat. Maria Becerra","En Tu Cuerpo (Remix)"
14,"Masked Wolf","Astronaut In The Ocean"
15,"Llane","Como Antes"
16,"Maluma","Agua de Jamaica"
17,"Jessi Uribe","La Culpa"
18,"Selena Gomez & Rauw Alejandro","Baila Conmigo"
19,"The Weeknd","Blinding Lights"
20,"Sech","911"
21,"KAROL G, Anuel AA & J. Balvin","LOCATION"
22,"Ovy On The Drums & Danny Ocean Feat. KAROL G","Miedito o Qué?"
23,"ElyOtto & Zedivan","Sugar Crash"
24,"Manuel Turizo & Wisin & Yandel","Mala Costumbre"
25,"Rauw Alejandro & Anuel AA","Reloj"
26,"Ricardo Montaner, Camilo & Mau y Ricky Feat. Evaluna Montaner","Amén (Acústico)"
27,"Daddy Yankee & Marc Anthony","De Vuelta Pa' La Vuelta"
28,"Sebastián Yatra & Guaynaa","Chica Ideal"
29,"CNCO","Tan Enamorados"
30,"The Weeknd","Save Your Tears"
31,"Sebastián Yatra","Adiós"
32,"kostromin","Моя голова винтом"
33,"Boza","Hecha Pa' Mi"
34,"Aya Nakamura","Copines"
35,"Natti Natasha & Prince Royce","ANTES QUE SALGA EL SOL"
36,"Nicky Jam & Romeo Santos","Fan de Tus Fotos"
37,"Bad Bunny & ROSALÍA","LA NOCHE DE ANOCHE"
